Version,ContainerShip,Examples,IntegrationTests,JSCLegacyProfiler,Libraries,RNTester,React,ReactAndroid,ReactCommon,ReactNative,Tools,aggregate,babel-preset,blog,bots,danger,docs,flow-github,flow-typed,flow,gradle,jest,jestSupport,keystores,lib,lint,local-cli,packager,packages,private-cli,react-native-cli,react-native-git-upgrade,react-native-gradle,repo-config,scripts,template,third-party-podspecs,website,tools
0.5-stable,0,6,6,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,2,8,0,0,3,0,0,0,3,0,0,6,0
0.6-stable,0,6,6,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,8,0,0,3,0,0,0,3,0,0,6,0
0.7-stable,0,6,1,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,8,0,0,4,0,0,0,3,0,0,6,0
0.8-stable,0,7,1,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,8,0,0,4,0,0,0,3,0,0,6,0
0.9-stable,0,7,1,4,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,8,0,0,4,0,0,0,3,0,0,6,0
0.10-stable,0,7,1,4,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,8,0,0,4,0,0,0,3,0,0,6,0
0.11-stable,0,10,1,5,5,0,4,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,11,7,0,0,4,0,5,0,3,0,0,6,0
0.12-stable,0,10,1,6,7,0,4,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,11,7,0,2,4,0,5,0,3,0,0,6,0
0.13-stable,0,10,1,6,7,0,4,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,11,7,0,2,4,0,5,0,3,0,0,6,0
0.14-stable,0,10,1,6,7,0,5,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,12,7,0,2,4,0,0,0,3,0,0,6,0
0.15-stable,0,10,1,6,7,0,5,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,6,0
0.17-stable,0,10,2,6,7,0,5,11,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,6,0
0.18-stable,0,10,2,6,7,0,5,12,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.19-stable,0,10,2,6,7,0,5,12,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.20-stable,0,11,2,6,7,0,5,12,0,0,0,0,4,0,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.21-stable,0,11,2,6,7,0,5,12,0,0,0,0,4,0,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.22-stable,0,11,2,6,7,0,5,12,0,0,0,0,4,1,3,0,3,0,0,0,0,0,2,0,0,0,13,6,0,0,4,0,0,0,4,0,0,7,0
0.23-stable,0,11,2,6,7,0,5,12,0,0,0,0,4,1,3,0,3,0,0,2,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.24-stable,0,11,2,6,7,0,5,12,0,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.25-stable,0,11,2,6,7,0,5,12,0,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,0,0,13,6,0,0,4,0,0,0,3,0,0,7,0
0.26-stable,0,11,2,6,7,0,6,12,3,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,0,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.27-stable,0,11,2,6,7,0,6,12,3,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.28-stable,0,11,2,6,7,0,6,12,4,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.29-stable,0,11,2,6,7,0,6,12,4,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.30-stable,0,11,2,6,7,0,6,12,4,0,5,0,4,1,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.31-stable,0,11,2,6,7,0,6,12,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.32-stable,0,11,2,6,7,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,13,7,0,0,4,0,0,0,3,0,0,7,0
0.33-stable,0,11,2,6,7,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.34-stable,0,11,2,6,8,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.35-stable,0,11,2,6,8,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.36-stable,0,11,2,6,8,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,0,2,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.37-stable,0,11,2,6,8,0,6,11,4,0,0,0,4,2,3,0,3,0,0,2,0,2,1,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.38-stable,0,11,2,6,9,0,6,11,5,0,0,0,4,2,3,0,3,0,0,2,0,2,1,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.39-stable,0,11,2,6,9,0,6,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,14,7,0,0,4,0,0,0,3,0,0,7,0
0.40-stable,0,11,2,6,9,0,6,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,15,7,0,0,4,4,0,0,3,0,0,7,0
0.41-stable,0,11,2,6,9,0,5,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,15,7,0,0,4,4,0,0,3,0,0,7,0
0.42-stable,0,11,3,6,9,0,5,11,7,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,16,7,0,0,4,4,0,0,3,0,0,8,0
0.43-stable,4,11,3,6,9,0,5,11,7,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,16,7,0,0,4,4,0,0,3,0,0,8,0
0.44-stable,4,11,3,6,9,0,5,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,14,7,0,0,4,4,0,0,3,0,0,7,0
0.45-stable,4,0,3,6,9,11,5,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,14,8,0,0,4,4,0,0,3,0,2,7,0
0.46-stable,4,0,3,6,8,11,5,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,14,0,0,0,4,4,0,0,5,0,2,7,0
0.47-stable,4,0,3,6,8,11,5,11,6,0,0,0,4,2,3,0,3,0,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,7,0
0.48-stable,4,0,3,0,8,12,5,11,6,0,0,0,4,2,3,4,3,0,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,7,0
0.49-stable,4,0,3,0,10,12,5,11,6,0,0,0,4,2,3,4,3,0,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,7,0
0.50-stable,4,0,3,0,10,12,5,11,6,0,0,0,4,2,3,4,3,0,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,7,0
0.51-stable,4,0,3,0,10,12,5,11,6,0,0,0,4,2,3,4,3,0,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,7,0
0.52-stable,4,0,3,0,10,12,5,11,5,0,0,0,4,2,3,4,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,0,0
0.53-stable,4,0,3,0,10,12,5,11,5,0,0,0,4,2,3,4,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,0,0
0.54-stable,4,0,3,0,10,12,5,11,5,1,0,0,4,0,4,0,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,0,0
0.55-stable,4,0,3,0,10,12,5,11,5,1,0,0,4,0,4,0,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,0,0
0.56-stable,4,0,3,0,10,12,5,11,7,1,0,0,4,0,4,0,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,0,2,0,0
0.57-stable,4,0,3,0,10,12,5,11,7,0,0,0,0,0,4,0,0,1,0,2,0,2,0,0,2,0,14,0,0,0,4,4,0,0,5,0,2,0,1
0.58-stable,4,0,3,0,10,12,6,11,8,0,0,0,0,0,4,0,0,1,0,2,0,2,0,0,2,0,15,0,0,0,4,4,0,0,5,2,2,0,2
0.59-stable,4,0,3,0,10,12,5,11,7,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,1,0,6,0,0,0,0,0,5,12,2,0,2
0.60-stable,0,0,3,0,9,14,6,11,15,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,1,0,7,0,0,0,0,0,6,12,2,0,2
0.61-stable,0,0,3,0,9,14,6,11,15,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,0,0,1,0,9,0,0,0,0,0,6,12,2,0,2
0.62-stable,0,0,3,0,9,13,7,11,15,0,0,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,1,0,9,0,0,0,0,0,6,12,2,0,2
0.63-stable,0,0,3,0,9,13,7,12,15,0,0,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,1,0,9,0,0,0,0,0,6,12,2,0,2
0.64-stable,0,0,3,0,6,0,6,12,16,0,0,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,1,0,18,0,0,0,0,1,6,12,2,0,2
0.65-stable,0,0,3,0,6,0,6,11,16,0,0,0,0,0,4,0,1,0,2,2,0,2,0,0,0,0,1,0,19,0,0,0,0,1,6,12,2,0,2
