Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,9631,0,0,0,102,0,0,0,0
6,10069,0,0,0,102,0,0,0,0
7,11545,0,0,0,586,0,0,0,0
8,12654,0,0,0,586,0,0,0,0
9,13575,0,0,0,586,0,0,0,0
10,13852,0,0,0,586,0,0,0,0
11,15967,266,0,0,586,0,0,0,122
12,15940,266,0,0,633,0,0,0,122
13,16118,178,0,0,617,0,0,0,90
14,16162,178,0,0,617,0,0,0,90
15,16830,178,0,0,617,0,0,0,90
17,17082,178,0,0,659,0,0,0,93
18,17224,178,0,0,659,0,0,0,93
19,17526,178,0,0,659,0,0,0,93
20,18254,178,0,0,659,0,0,0,93
21,19482,178,0,0,659,0,0,0,93
22,21554,105,0,0,659,0,0,43,96
23,21783,105,0,0,659,0,0,43,96
24,22151,130,0,0,659,0,0,43,103
25,22419,130,0,0,659,0,0,62,116
26,23031,130,0,0,659,0,0,62,116
27,22344,130,0,0,659,0,0,62,116
28,21229,130,0,0,659,0,0,62,116
29,22462,188,0,0,659,0,0,62,118
30,23059,188,0,0,659,0,0,62,118
31,24023,188,0,0,659,0,0,62,118
32,24277,188,0,0,659,0,0,62,118
33,24730,286,0,0,659,0,0,93,171
34,25639,286,0,0,659,0,0,94,173
35,25697,286,0,0,659,0,0,94,173
36,25698,286,0,0,659,0,0,94,173
37,25894,286,0,0,659,0,0,94,173
38,25981,286,0,0,659,0,0,94,173
39,26103,286,0,0,659,0,0,94,173
40,26180,286,0,0,658,0,0,94,177
41,26260,286,0,0,658,0,0,94,177
42,26098,286,0,0,658,0,0,94,177
43,25449,286,0,0,658,0,0,94,178
44,22227,124,0,0,594,0,0,32,72
