Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,749,0,0,0,17,0,0,0,0
6,772,0,0,0,17,0,0,0,0
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
17,1271,0,0,0,0,0,0,0,0
18,1271,0,0,0,0,0,0,0,0
19,1271,0,0,0,0,0,0,0,0
20,1289,0,0,0,0,0,0,0,0
21,1289,0,0,0,0,0,0,0,0
22,1289,0,0,0,0,0,0,0,0
23,1289,0,0,0,0,0,0,0,0
24,1289,0,0,0,0,0,0,0,0
25,1303,0,0,0,0,0,0,0,0
26,1303,0,0,0,0,0,0,0,0
27,1303,0,0,0,0,0,0,0,0
28,1303,0,0,0,0,0,0,0,0
29,1303,0,0,0,0,0,0,0,0
30,1303,0,0,0,0,0,0,0,0
31,1303,0,0,0,0,0,0,0,0
32,1303,0,0,0,0,0,0,0,0
33,1303,0,0,0,0,0,0,0,0
34,1301,0,0,0,0,0,0,0,0
35,1301,0,0,0,0,0,0,0,0
36,1301,0,0,0,0,0,0,0,0
37,1301,0,0,0,0,0,0,0,0
38,1314,0,0,0,0,0,0,0,0
39,1314,0,0,0,0,0,0,0,0
40,1314,0,0,0,0,0,0,0,0
41,1314,0,0,0,0,0,0,0,0
42,1650,0,0,0,0,0,20,0,0
43,1663,0,0,0,0,0,20,0,0
44,1651,0,0,0,0,0,20,0,0
45,1695,0,0,0,0,0,20,0,0
46,1703,0,0,0,0,0,20,0,0
47,1756,0,0,0,0,0,20,0,0
48,1816,0,0,0,0,0,20,0,0
49,1819,0,0,0,0,0,20,0,0
50,1842,0,0,0,0,0,20,0,0
51,1842,0,0,0,0,0,20,0,0
52,1832,0,0,0,0,0,20,0,0
53,1832,0,0,0,0,0,20,0,0
54,1832,0,0,0,0,0,20,0,0
55,1792,0,0,0,0,0,18,0,0
56,1825,0,0,0,0,0,18,0,0
57,1823,0,0,0,0,0,18,0,0
58,1961,0,0,0,0,0,18,0,0
59,1962,0,0,0,0,0,18,0,0
60,1896,0,0,0,0,0,18,0,0
61,1988,0,0,0,0,0,18,0,0
62,1997,0,0,0,0,0,18,0,0
63,2000,0,0,0,0,0,18,0,0
64,2005,0,0,0,0,0,18,0,0
65,2027,0,0,0,0,0,18,0,0
