Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,29423,0,0,0,1522,0,0,0,0
6,30564,0,0,0,1514,0,0,0,0
7,31087,0,0,0,1560,0,0,0,0
8,34264,0,0,0,1636,0,0,0,0
9,35045,0,0,0,1715,0,0,0,0
10,35114,0,0,0,1710,0,0,0,0
11,37057,0,0,0,1714,0,0,0,0
12,38416,0,0,0,1811,0,0,0,0
13,40152,0,0,0,1900,0,0,0,0
14,40761,0,0,0,1895,0,0,0,0
15,40964,0,0,0,1916,0,0,0,0
17,41902,0,0,0,1996,0,0,0,0
18,42739,0,0,0,2012,0,0,0,0
19,43442,0,0,0,2017,0,0,0,0
20,44589,0,0,0,2083,0,0,0,0
21,46534,0,0,0,2084,0,0,0,0
22,48218,0,0,0,2145,0,0,0,0
23,50697,0,0,0,2160,0,0,0,0
24,53155,0,0,0,2160,0,0,0,0
25,53936,0,0,0,2162,0,0,0,0
26,50912,0,0,0,2155,0,0,0,0
27,50938,0,0,0,2112,0,0,0,0
28,48949,0,0,0,2138,0,0,0,0
29,50732,0,0,0,2404,0,0,0,0
30,50885,0,0,0,2407,0,0,0,0
31,50497,0,0,0,2407,0,0,0,0
32,52034,0,0,0,2427,0,0,0,0
33,52319,0,0,0,2455,0,0,0,0
34,52822,0,0,0,2512,0,0,0,0
35,53337,0,0,0,2518,0,0,0,0
36,53563,0,0,0,2532,0,0,0,0
37,52877,0,0,0,2565,0,0,0,0
38,67002,0,0,0,2593,0,0,0,0
39,67184,0,0,0,2596,0,0,0,0
40,67396,0,0,0,2691,0,0,0,0
41,67978,0,0,0,2691,0,0,0,0
42,67944,0,0,0,2665,0,0,0,0
43,86661,0,0,0,2698,0,0,0,0
44,81465,0,0,0,2763,0,0,0,0
45,83408,0,0,0,2795,0,0,0,0
46,66993,0,0,0,2775,0,0,0,0
47,67843,0,0,0,2837,0,0,0,0
48,69999,0,0,0,2990,0,0,0,0
49,70624,0,0,210,3048,0,0,0,0
50,65945,0,0,210,3072,0,0,0,0
51,66240,0,0,210,3266,0,0,0,0
52,77589,0,0,210,3434,0,0,0,0
53,77981,0,0,210,3449,0,0,0,0
54,99275,0,0,210,3623,0,0,0,0
55,100777,0,0,210,3500,0,0,0,0
56,116960,0,0,210,3548,0,0,0,0
57,127955,0,0,210,3552,0,0,0,0
58,128842,0,0,210,3601,0,0,0,0
59,136686,0,0,210,3602,0,0,0,0
60,135162,0,0,0,3159,0,0,0,0
61,226005,0,0,0,6640,0,0,42,0
62,240220,0,0,0,7886,0,0,45,0
63,221454,0,0,0,7974,0,0,50,0
64,228349,0,0,0,3732,0,0,61,0
65,231369,0,0,0,3731,0,0,56,0
