Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.20-stable,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,29
0.21-stable,18,0,0,0,0,0,0,0,0,0,11,0,0,0,0,29
0.22-stable,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,30
0.23-stable,19,0,0,0,0,0,0,0,0,0,11,0,0,0,0,30
0.24-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.25-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.26-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.27-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.28-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.29-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.30-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.31-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.32-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.33-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.34-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.35-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.36-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.37-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.38-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.39-stable,21,0,0,0,0,0,0,0,0,0,11,0,0,0,0,32
0.40-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.41-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.42-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.43-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.44-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.45-stable,22,0,0,0,0,0,0,0,0,0,11,0,0,0,0,33
0.46-stable,24,0,0,0,0,0,0,0,0,0,11,0,0,0,0,35
0.47-stable,42,0,0,0,0,0,0,0,0,0,11,0,0,0,0,53
0.48-stable,44,0,0,0,0,0,0,0,0,0,11,0,0,0,0,55
0.49-stable,34,0,0,0,0,0,0,0,0,0,11,0,0,0,0,45
0.50-stable,34,0,0,0,0,0,0,0,0,0,11,0,0,0,0,45
0.51-stable,34,0,0,0,0,0,0,0,0,0,11,0,0,0,0,45
0.52-stable,27,0,0,0,0,0,0,0,0,0,11,0,0,0,0,38
0.53-stable,27,0,0,0,0,0,0,0,0,0,11,0,0,0,0,38
0.54-stable,30,0,0,0,0,0,0,0,0,0,11,0,0,0,0,41
0.55-stable,30,0,0,0,0,0,0,0,0,0,11,0,0,0,0,41
0.56-stable,31,0,0,0,0,0,0,0,0,0,11,0,0,0,0,42
