Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.17-stable,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,
0.18-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.19-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.20-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.21-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.22-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.23-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.24-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.25-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.26-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.27-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.28-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.29-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.30-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.31-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.32-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.33-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.34-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.35-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.36-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.37-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.38-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.39-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.40-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.41-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.42-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.43-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.44-stable,28,0,0,0,0,0,0,0,0,0,6,0,0,0,34,
0.45-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.46-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.47-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.48-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.49-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.50-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.51-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.52-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.53-stable,29,0,0,0,0,0,0,0,0,0,6,0,0,0,35,
0.54-stable,49,0,0,0,0,0,0,0,0,0,12,0,0,0,61,
0.55-stable,43,0,0,0,0,0,0,0,0,0,12,0,0,0,55,
0.56-stable,39,0,0,0,0,0,0,0,0,0,6,0,0,0,45,
0.57-stable,39,0,0,0,0,0,0,0,0,0,6,0,0,0,45,
0.58-stable,10,0,0,0,0,0,0,0,0,0,6,0,0,0,16,
0.59-stable,9,0,0,0,0,0,0,0,0,0,6,0,0,0,15,
0.60-stable,9,0,0,0,0,0,0,0,0,0,6,0,0,0,15,
0.61-stable,48,0,0,0,0,0,0,0,0,0,7,0,0,0,55,
0.62-stable,48,0,0,0,0,0,0,0,0,0,7,0,0,0,55,
0.63-stable,89,0,0,0,0,0,0,0,0,0,7,0,0,0,96,
0.64-stable,89,0,0,0,0,0,0,0,0,0,7,0,0,0,96,
0.65-stable,91,0,0,0,0,0,0,0,0,0,7,0,0,0,98,
