Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.23-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.24-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.25-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.26-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.27-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.28-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.29-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.30-stable,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0.31-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.32-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.33-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.34-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.35-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.36-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.37-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.38-stable,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.39-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.40-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.41-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.42-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.43-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.44-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.45-stable,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0.46-stable,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
0.47-stable,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0.48-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.49-stable,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0.50-stable,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
0.51-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.52-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.53-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.54-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.55-stable,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.56-stable,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
0.57-stable,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
0.58-stable,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
0.59-stable,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
0.60-stable,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
0.61-stable,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
0.62-stable,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
0.63-stable,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
0.64-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0.65-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
