Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.37-stable,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0.38-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.39-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.40-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.41-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.42-stable,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0.43-stable,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0.44-stable,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0.45-stable,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0.46-stable,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0.47-stable,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0.48-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.49-stable,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0.50-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.51-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
0.52-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0.53-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0.54-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0.55-stable,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
0.56-stable,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0.57-stable,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
0.58-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.59-stable,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
0.60-stable,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0.61-stable,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
0.62-stable,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
0.63-stable,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
0.64-stable,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
0.65-stable,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
