Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.5-stable,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.6-stable,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.7-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.8-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.9-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.10-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.11-stable,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.12-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0.13-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0.14-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.15-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.17-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.18-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.19-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.20-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.21-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.22-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.23-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.24-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.25-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.26-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.27-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.28-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.29-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.30-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.31-stable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.32-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.33-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.34-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.35-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.36-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0.37-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
