Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
6,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
8,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
10,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
11,152,14,0,0,4,29,0,0,5,0,0,0,0,0,0,0,20,0,0,0,7,2,0,0,24,0,0,0,0,0,0,0,257
12,156,15,0,0,4,29,0,0,5,0,0,0,0,0,0,0,20,0,0,0,7,2,0,0,24,0,0,0,0,0,0,0,262
13,159,15,0,0,4,29,0,0,5,0,0,0,0,0,0,0,20,0,0,0,7,12,0,0,24,0,0,0,0,0,0,0,275
14,105,15,0,0,4,29,0,0,5,0,0,0,0,0,0,1,20,0,0,0,23,12,0,0,24,0,0,0,0,0,0,0,238
15,368,15,0,0,4,29,0,0,5,0,0,0,0,18,0,1,20,0,0,0,23,12,0,0,24,0,0,0,0,0,0,0,519
17,404,15,0,0,4,29,0,0,5,0,0,0,0,18,0,1,20,0,0,0,24,12,0,0,24,0,0,0,0,0,0,0,556
18,444,6,0,0,4,29,0,0,5,0,0,0,0,18,0,1,20,0,0,0,34,15,0,0,24,0,0,0,0,0,0,0,600
19,497,6,0,0,4,29,0,0,5,0,0,0,0,18,0,1,20,0,0,0,31,15,0,0,24,0,0,0,0,0,0,0,650
20,484,6,0,0,4,29,0,0,5,0,0,0,0,18,0,1,20,0,0,0,31,15,0,0,24,0,0,0,0,0,0,0,637
21,486,6,0,0,4,29,0,0,5,0,0,0,0,15,0,1,20,0,0,0,31,15,0,0,24,0,0,0,0,0,0,0,636
22,509,6,0,0,4,29,0,0,5,0,0,0,0,15,0,1,20,0,0,0,31,15,0,0,24,0,0,0,0,0,0,0,659
23,555,6,0,0,4,29,0,0,5,0,0,0,0,15,0,1,20,0,0,0,31,15,0,0,24,0,0,0,0,0,0,0,705
24,555,6,0,0,4,29,0,0,6,0,0,0,0,15,0,1,20,0,0,0,13,15,0,0,24,0,0,0,0,0,0,0,688
25,557,6,0,0,4,29,0,0,6,0,0,0,0,15,0,1,20,0,0,0,13,13,0,0,24,0,0,0,0,0,0,0,688
26,547,6,0,0,4,29,0,0,6,0,0,0,0,15,0,1,20,0,0,0,13,13,0,0,24,0,0,0,0,0,0,0,678
27,1178,63,0,0,4,29,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1368
28,1183,63,0,0,4,29,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1373
29,1198,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1389
30,1217,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1408
31,1189,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1380
32,1212,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,0,15,13,0,0,24,0,0,0,0,0,0,0,1403
33,1450,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1643
34,1488,67,0,0,4,26,0,0,6,0,0,0,0,15,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1681
35,1514,67,0,0,4,26,0,0,6,0,0,0,0,16,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1708
36,1536,67,0,0,4,26,0,0,6,0,0,0,0,16,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1730
37,1540,67,0,0,4,26,0,0,6,0,0,0,0,16,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1734
38,1521,68,0,0,4,26,0,0,6,0,0,0,0,18,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1718
39,1593,68,0,0,4,26,0,0,6,0,0,0,0,18,0,1,20,0,0,2,15,13,0,0,24,0,0,0,0,0,0,0,1790
40,4351,68,0,0,4,26,0,0,6,0,0,0,0,18,0,1,20,0,0,2,15,13,0,0,24,0,76,0,0,0,0,0,4624
41,1579,68,0,0,4,26,0,0,6,0,0,0,0,18,0,1,20,0,0,2,15,13,0,0,24,0,76,0,0,0,0,0,1852
42,1667,68,0,0,4,26,0,0,6,30,0,0,0,21,0,1,20,0,0,2,15,13,0,0,24,0,76,0,0,0,0,0,1973
43,1711,68,0,0,4,26,0,0,6,30,0,0,0,21,0,1,20,0,0,2,15,13,0,0,24,0,76,0,0,0,0,0,2017
44,1571,68,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,15,14,0,0,24,0,0,0,0,0,0,0,1806
45,1575,68,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,15,14,0,0,24,0,0,0,0,0,0,0,1810
46,1505,68,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,15,14,0,0,24,0,0,0,0,0,0,0,1740
