Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.40-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.41-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.42-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.43-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.44-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.45-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.46-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.47-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.48-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.49-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.50-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.51-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.52-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.53-stable,68,0,0,0,0,0,0,0,0,0,6,0,0,0,74,
0.54-stable,71,0,0,0,0,0,0,0,0,0,6,0,0,0,77,
0.55-stable,71,0,0,0,0,0,0,0,0,0,6,0,0,0,77,
0.56-stable,73,0,0,0,0,0,0,0,0,0,6,0,0,0,79,
0.57-stable,73,0,0,0,0,0,0,0,0,0,6,0,0,0,79,
0.58-stable,73,0,0,0,0,0,0,0,0,0,6,0,0,0,79,
