Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.45-stable,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10
0.46-stable,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
0.47-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.48-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.49-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.50-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.51-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.52-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.53-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.54-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.55-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.56-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.57-stable,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6
0.58-stable,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
0.59-stable,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
0.60-stable,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
0.61-stable,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
0.62-stable,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
0.63-stable,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13
0.64-stable,0,0,0,0,0,0,183,0,0,0,0,0,0,0,183
0.65-stable,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17
