Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Bourne Shell,Dockerfile,Sum stats
0.43-stable,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,85,432
0.44-stable,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,92,446
0.45-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,96,454
0.46-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,96,454
0.47-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.48-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.49-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.50-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.51-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.52-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,95,452
0.53-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,85,442
0.54-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,85,442
0.55-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,85,442
0.56-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,87,444
0.57-stable,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,87,444
0.58-stable,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,87,456
0.59-stable,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,35,404
