Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.5-stable,607,0,0,0,4,90,0,0,0,218,0,44,0,0,963
0.6-stable,628,0,0,0,4,90,0,0,0,218,0,44,0,0,984
0.7-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.8-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.9-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.10-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.11-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.12-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.13-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.14-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.15-stable,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0
0.17-stable,978,0,0,0,0,0,0,0,0,0,0,0,0,0,978
0.18-stable,978,0,0,0,0,0,0,0,0,0,0,0,0,0,978
0.19-stable,978,0,0,0,0,0,0,0,0,0,0,0,0,0,978
0.20-stable,993,0,0,0,0,0,0,0,0,0,0,0,0,0,993
0.21-stable,993,0,0,0,0,0,0,0,0,0,0,0,0,0,993
0.22-stable,993,0,0,0,0,0,0,0,0,0,0,0,0,0,993
0.23-stable,993,0,0,0,0,0,0,0,0,0,0,0,0,0,993
0.24-stable,993,0,0,0,0,0,0,0,0,0,0,0,0,0,993
0.25-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.26-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.27-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.28-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.29-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.30-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.31-stable,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,1007
0.32-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.33-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.34-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.35-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.36-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.37-stable,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
0.38-stable,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
0.39-stable,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
0.40-stable,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
0.41-stable,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,1014
0.42-stable,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,18
0.43-stable,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,18
0.44-stable,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,18
0.45-stable,1283,0,0,0,0,0,0,0,0,0,0,0,0,0,1301,18
0.46-stable,1291,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,18
0.47-stable,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,18
0.48-stable,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,18
0.49-stable,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,1383,18
0.50-stable,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,18
0.51-stable,1367,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,18
0.52-stable,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,18
0.53-stable,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,18
0.54-stable,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,18
0.55-stable,1357,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,18
0.56-stable,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,1393,18
0.57-stable,1374,0,0,0,0,0,0,0,0,0,0,0,0,0,1392,18
0.58-stable,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,1481,9
0.59-stable,1473,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,9
0.60-stable,1435,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,9
0.61-stable,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,1517,9
0.62-stable,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,9
0.63-stable,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,9
0.64-stable,1519,0,0,0,0,0,0,0,0,0,0,0,0,0,1528,9
0.65-stable,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,1547,9
