Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
11,0,16355,2960,0,3292,0,0,0,535,84,0,0,0,0,0,111,0,0,0,218,213,13,0,12,0,0,0,0,0,0,0,0,23793
12,0,16715,2997,0,3292,0,0,0,627,85,0,0,0,0,0,110,0,0,0,218,213,13,0,12,0,0,0,0,0,0,0,0,24282
13,0,17861,3072,0,3355,0,0,0,643,84,0,0,0,0,0,110,0,0,0,218,213,13,0,12,0,0,0,0,0,0,0,0,25581
14,0,18292,3143,0,3358,0,0,0,647,84,0,0,0,0,0,110,0,0,0,218,214,13,0,12,0,0,0,0,0,0,0,0,26091
15,0,19262,3159,0,3358,0,0,0,544,84,0,0,0,0,0,110,0,0,0,218,218,13,0,12,0,0,0,0,0,0,0,0,26978
17,0,23548,3452,0,3399,0,0,0,639,84,0,0,0,0,0,110,0,0,0,218,227,13,0,12,0,0,0,0,0,0,0,0,31702
18,125,26189,3647,0,3451,0,0,0,553,84,0,0,0,0,0,110,0,0,0,211,226,13,0,12,0,0,0,0,0,0,0,0,34621
19,125,28037,3966,0,3614,0,0,0,556,84,0,0,0,0,0,112,0,0,0,213,230,13,0,12,0,0,0,0,0,0,0,0,36962
20,125,33099,4135,0,3681,0,0,0,556,84,0,0,0,0,0,112,0,0,0,221,231,13,0,27,0,0,0,0,0,0,0,0,42284
21,125,33256,4198,0,3797,0,0,0,556,84,0,0,0,0,0,112,0,0,0,218,228,13,0,27,0,0,0,0,0,0,0,0,42614
22,125,34016,4500,0,4788,0,0,0,577,22,0,0,0,0,0,110,0,0,0,220,232,13,0,27,0,0,0,0,0,0,0,0,44630
23,125,34727,4691,0,4802,0,0,0,610,22,0,0,0,0,0,110,0,0,0,235,232,13,0,27,0,0,0,0,0,0,0,0,45594
24,125,35889,4692,0,4802,0,0,0,610,22,0,0,0,0,0,111,0,0,0,235,230,13,0,27,0,0,0,0,0,0,0,0,46756
25,125,36456,4723,0,4805,0,0,0,610,22,0,0,0,0,0,111,0,0,0,235,230,13,0,27,0,0,0,0,0,0,0,0,47357
26,196,37514,4629,0,4805,0,0,0,631,22,0,0,0,0,0,111,0,0,0,235,232,13,0,27,0,0,0,0,0,0,0,0,48415
27,739,38668,5970,0,5401,0,0,0,301,24,0,0,0,0,0,111,0,0,0,228,233,13,0,27,0,0,0,0,0,0,0,0,51715
28,1011,42484,5977,0,5524,0,0,0,301,24,0,0,0,0,0,111,0,0,0,293,233,17,0,27,0,0,0,0,0,0,0,0,56002
29,1671,43619,6201,0,5527,0,0,0,299,24,0,0,0,0,0,36,0,0,0,293,238,17,0,27,0,0,0,0,0,0,0,0,57952
30,1852,44726,6204,0,5527,0,0,0,337,24,0,0,0,0,0,36,0,0,0,293,238,17,0,27,0,0,0,0,0,0,0,0,59281
31,1852,45160,6202,0,5597,0,0,0,337,24,0,0,0,0,0,13,0,0,0,293,239,21,0,27,0,0,0,0,0,0,0,0,59765
32,1868,45018,3325,0,4756,0,0,0,392,24,0,0,0,0,0,0,0,0,0,230,239,21,0,27,0,0,0,0,0,0,0,0,55900
33,1868,46106,3325,0,4756,0,0,0,405,24,0,0,0,0,0,0,0,0,0,230,241,21,0,27,0,0,0,0,0,0,0,0,57003
34,1868,47116,3326,0,4756,0,0,0,405,24,0,0,0,0,0,0,0,0,0,230,242,21,0,27,0,0,0,0,0,0,0,0,58015
35,1868,47347,3323,0,4756,0,0,0,405,24,0,0,0,0,0,0,0,0,0,230,242,21,0,27,0,0,0,0,0,0,0,0,58243
36,1868,48053,3323,0,4757,0,0,0,406,24,0,0,0,0,0,0,0,0,0,229,242,21,0,27,0,0,0,0,0,0,0,0,58950
37,1868,48469,3324,0,4757,0,0,0,406,24,0,0,0,0,0,0,0,0,0,229,250,21,0,27,0,0,0,0,0,0,0,0,59375
38,1868,48859,3404,0,4826,0,0,0,406,24,0,0,0,0,0,0,0,0,0,247,250,21,0,27,0,0,0,0,0,0,0,0,59932
39,1855,49017,3653,0,5719,0,0,0,406,25,0,0,0,0,0,0,0,0,0,246,250,21,0,27,0,0,0,0,0,0,0,0,61219
40,1867,48120,3680,0,5753,0,0,0,418,25,0,0,0,0,0,0,0,0,0,264,249,21,0,27,0,0,0,0,0,0,0,0,60424
41,1830,54974,3732,0,5720,0,0,0,418,61,0,0,0,0,0,0,0,0,0,246,250,21,0,27,0,0,0,0,0,0,0,0,67279
42,1871,55922,3624,0,5765,0,0,0,418,61,0,0,0,0,0,0,0,0,0,264,250,21,0,27,0,0,0,0,0,0,0,0,68223
43,1903,56938,3699,0,5764,0,0,0,418,61,0,0,0,0,0,0,0,0,0,264,250,21,0,27,0,0,0,0,0,0,0,0,69345
44,1891,58121,3753,0,5771,0,0,0,430,61,0,0,0,0,0,0,0,0,0,247,249,21,0,27,0,0,0,0,0,0,0,0,70571
45,1962,58492,3736,0,5719,0,0,0,436,61,0,0,0,0,0,0,0,0,0,245,249,38,0,27,0,0,0,0,0,0,0,0,70965
46,1972,59135,3991,0,5868,0,0,0,468,61,0,0,0,0,0,0,0,0,0,218,263,46,0,27,0,0,0,0,0,0,0,0,72049
47,1972,59261,4028,0,5868,0,0,0,436,61,0,0,0,0,0,0,0,0,0,218,263,42,0,15,0,0,0,0,0,0,0,0,72164
