Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.20-stable,133,0,0,0,0,0,0,0,0,0,20,45,0,0,198,
0.21-stable,133,0,0,0,0,0,0,0,0,0,20,45,0,0,198,
0.22-stable,139,0,0,0,0,0,0,0,0,0,20,45,0,0,204,
0.23-stable,139,0,0,0,0,0,0,0,0,0,20,45,0,0,204,
0.24-stable,142,0,0,0,0,0,0,0,0,0,20,45,0,0,207,
0.25-stable,144,0,0,0,0,0,0,0,0,0,20,46,0,0,210,
0.26-stable,144,0,0,0,0,0,0,0,0,0,20,46,0,0,210,
0.27-stable,150,0,0,0,0,0,0,0,0,0,20,47,0,0,217,
0.28-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.29-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.30-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.31-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.32-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.33-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.34-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.35-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.36-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.37-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.38-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.39-stable,152,0,0,0,0,0,0,0,0,0,20,48,0,0,220,
0.40-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.41-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.42-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.43-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.44-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.45-stable,154,0,0,0,0,0,0,0,0,0,20,48,0,0,222,
0.46-stable,156,0,0,0,0,0,0,0,0,0,20,48,0,0,224,
0.47-stable,236,0,0,0,0,0,0,0,0,0,20,48,0,0,304,
0.48-stable,269,0,0,0,0,0,0,0,0,0,20,48,0,0,337,
0.49-stable,213,0,0,0,0,0,0,0,0,0,20,50,0,0,283,
0.50-stable,213,0,0,0,0,0,0,0,0,0,20,50,0,0,283,
0.51-stable,216,0,0,0,0,0,0,0,0,0,20,51,0,0,287,
0.52-stable,196,0,0,0,0,0,0,0,0,0,20,51,0,0,267,
0.53-stable,196,0,0,0,0,0,0,0,0,0,20,51,0,0,267,
0.54-stable,216,0,0,0,0,0,0,0,0,0,20,51,0,0,287,
0.55-stable,220,0,0,0,0,0,0,0,0,0,20,51,0,0,291,
0.56-stable,222,0,0,0,0,0,0,0,0,0,20,46,0,0,288,
