Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.17-stable,1,0,0,0,0,0,0,0,0,0,9,0,0,0,10
0.18-stable,170,0,0,0,0,0,0,0,0,0,9,0,0,0,179
0.19-stable,170,0,0,0,0,0,0,0,0,0,9,0,0,0,179
0.20-stable,170,0,0,0,0,0,0,0,0,0,9,0,0,0,179
0.21-stable,170,0,0,0,0,0,0,0,0,0,9,0,0,0,179
0.22-stable,170,0,0,0,0,0,0,0,0,0,9,0,0,0,179
0.23-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.24-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.25-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.26-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.27-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.28-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.29-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.30-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.31-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.32-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.33-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.34-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.35-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.36-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.37-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.38-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.39-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.40-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.41-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.42-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.43-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.44-stable,174,0,0,0,0,0,0,0,0,0,9,0,0,0,183
0.45-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.46-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.47-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.48-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.49-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.50-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.51-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.52-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.53-stable,180,0,0,0,0,0,0,0,0,0,9,0,0,0,189
0.54-stable,269,0,0,0,0,0,0,0,0,0,20,26,0,0,315
0.55-stable,252,0,0,0,0,0,0,0,0,0,20,26,0,0,298
0.56-stable,252,0,0,0,0,0,0,0,0,0,12,26,0,0,290
0.57-stable,252,0,0,0,0,0,0,0,0,0,12,26,0,0,290
0.58-stable,70,0,0,0,0,0,0,0,0,0,12,26,0,0,108
0.59-stable,68,0,0,0,0,0,0,0,0,0,12,26,0,0,106
0.60-stable,68,0,0,0,0,0,0,0,0,0,12,26,0,0,106
0.61-stable,318,0,0,0,0,0,0,0,0,0,16,29,0,0,363
0.62-stable,318,0,0,0,0,0,0,0,0,0,16,29,0,0,363
0.63-stable,611,0,0,0,0,0,0,0,0,0,16,30,0,0,657
0.64-stable,611,0,0,0,0,0,0,0,0,0,16,30,0,0,657
0.65-stable,624,0,0,0,0,0,0,0,0,0,16,30,0,0,670
