Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.5-stable,0,0,0,0,0,0,0,0,0,0,1561,1,0,0,0,1562
0.6-stable,0,0,0,0,0,0,0,0,0,0,1590,1,0,0,0,1591
0.7-stable,0,0,0,0,0,0,0,0,0,0,2237,1,0,0,0,2238
0.8-stable,0,0,0,0,0,0,0,0,0,0,2452,1,0,0,0,2453
0.9-stable,0,0,0,0,0,0,0,0,0,0,2488,1,0,0,0,2489
0.10-stable,0,0,0,0,0,0,0,0,0,0,2423,1,0,0,0,2424
0.11-stable,0,0,0,0,0,0,0,0,0,0,2977,1,0,0,0,2978
0.12-stable,0,0,0,0,0,0,0,0,0,0,3020,1,0,0,0,3021
0.13-stable,0,0,0,0,0,0,0,0,0,0,3388,1,0,0,0,3389
0.14-stable,0,0,0,0,0,0,0,0,0,0,3612,1,0,0,0,3613
0.15-stable,0,0,0,0,0,0,0,0,0,0,3657,1,0,0,0,3658
0.17-stable,0,0,0,0,0,0,0,0,0,0,4127,1,0,0,0,4128
0.18-stable,0,0,0,0,0,0,0,0,0,0,4123,1,0,0,0,4124
0.19-stable,0,0,0,0,0,0,0,0,0,0,4238,1,0,0,0,4239
0.20-stable,0,0,0,0,0,0,0,0,0,0,4399,1,0,0,0,4400
0.21-stable,0,0,0,0,0,0,0,0,0,0,4511,1,0,0,0,4512
0.22-stable,0,0,0,0,0,0,0,0,0,0,4569,1,0,0,0,4570
0.23-stable,0,0,0,0,0,0,0,0,0,0,4603,1,0,0,0,4604
0.24-stable,0,0,0,0,0,0,0,0,0,0,4613,1,0,0,0,4614
0.25-stable,0,0,0,0,0,0,0,0,0,0,4999,1,0,0,0,5000
0.26-stable,0,0,0,0,0,0,0,0,0,0,5054,1,0,0,0,5055
0.27-stable,0,0,0,0,0,0,0,0,0,0,5247,1,0,0,0,5248
0.28-stable,0,0,0,0,0,0,0,0,0,0,5260,1,0,0,0,5261
0.29-stable,0,0,0,0,0,0,0,0,0,0,5410,1,0,0,0,5411
0.30-stable,0,0,0,0,0,0,0,0,0,0,5416,1,0,0,0,5417
0.31-stable,0,0,0,0,0,0,0,0,0,0,5489,1,0,0,0,5490
0.32-stable,0,0,0,0,0,0,0,0,0,0,5465,1,0,0,0,5466
0.33-stable,0,0,0,0,0,0,0,0,0,0,5474,1,0,0,0,5475
0.34-stable,0,0,0,0,0,0,0,0,0,0,5499,1,0,0,0,5500
0.35-stable,0,0,0,0,0,0,0,0,0,0,5599,1,0,0,0,5600
0.36-stable,0,0,0,0,0,0,0,0,0,0,5641,1,0,0,0,5642
0.37-stable,0,0,0,0,0,0,0,0,0,0,5654,1,0,0,0,5655
0.38-stable,0,0,0,0,0,0,0,0,0,0,5801,1,0,0,0,5802
0.39-stable,0,0,0,0,0,0,0,0,0,0,5814,1,0,0,0,5815
0.40-stable,0,0,0,0,0,0,0,0,0,0,5908,1,0,0,0,5909
0.41-stable,0,0,0,0,0,0,0,0,0,0,5943,1,0,0,0,5944
0.42-stable,0,0,0,0,0,0,0,0,0,0,5656,1,0,0,0,5657
0.43-stable,0,0,0,0,0,0,0,0,0,0,5659,1,0,0,0,5660
0.44-stable,0,0,0,0,0,0,0,0,0,0,5559,1,0,0,0,5560
0.45-stable,0,0,0,0,0,0,0,0,0,0,6328,1,0,0,0,6329
0.46-stable,0,0,0,0,0,0,0,0,0,0,6591,1,0,0,0,6592
0.47-stable,0,0,0,0,0,0,0,0,0,0,6600,1,0,0,0,6601
0.48-stable,0,0,0,0,0,0,0,0,0,0,6670,1,0,0,0,6671
0.49-stable,0,0,0,0,0,0,0,0,0,0,6695,1,0,0,0,6696
0.50-stable,0,0,0,0,0,0,0,0,0,0,7529,1,0,0,0,7530
0.51-stable,0,0,0,0,0,0,0,0,0,0,7753,1,0,0,0,7754
0.62-stable,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63-stable,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64-stable,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65-stable,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
