Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.37-stable,188,0,0,0,0,0,0,0,0,0,0,0,0,0,188,
0.38-stable,209,0,0,0,0,0,0,0,0,0,0,0,0,0,209,
0.39-stable,210,0,0,0,0,0,0,0,0,0,0,0,0,0,210,
0.40-stable,220,0,0,0,0,0,0,0,0,0,0,0,0,0,220,
0.41-stable,218,0,0,0,0,0,0,0,0,0,0,0,0,0,218,
0.42-stable,226,0,0,0,0,0,0,0,0,0,0,0,0,0,226,
0.43-stable,226,0,0,0,0,0,0,0,0,0,0,0,0,0,226,
0.44-stable,234,0,0,0,0,0,0,0,0,0,0,0,0,0,234,
0.45-stable,258,0,0,0,0,0,0,0,0,0,0,0,0,0,258,
0.46-stable,285,0,0,0,0,0,0,0,0,0,0,0,0,0,285,
0.47-stable,304,0,0,0,0,0,0,0,0,0,0,0,0,0,304,
0.48-stable,313,0,0,0,0,0,0,0,0,0,0,0,0,0,313,
0.49-stable,351,0,0,0,0,0,0,0,0,0,0,0,0,0,351,
0.50-stable,361,0,0,0,0,0,0,0,0,0,0,0,0,0,361,
0.51-stable,365,0,0,0,0,0,0,0,0,0,0,0,0,0,365,
0.52-stable,390,0,0,0,0,0,0,0,0,0,0,0,0,0,390,
0.53-stable,390,0,0,0,0,0,0,0,0,0,0,0,0,0,390,
0.54-stable,391,0,0,0,0,0,0,0,0,0,0,0,0,0,391,
0.55-stable,396,0,0,0,0,0,0,0,0,0,0,0,0,0,396,
0.56-stable,520,0,0,0,0,0,0,0,0,0,0,0,0,0,520,
0.57-stable,605,0,0,0,0,0,0,0,0,0,0,0,0,0,605,
0.58-stable,651,0,0,0,0,0,0,0,0,0,0,0,0,0,651,
0.59-stable,673,0,0,0,0,0,0,0,0,0,0,0,0,0,673,
0.60-stable,643,0,0,0,0,0,0,0,0,0,0,0,0,0,643,
0.61-stable,509,0,0,0,0,0,0,0,0,0,0,0,0,0,509,
0.62-stable,502,0,0,0,0,0,0,0,0,0,0,0,0,0,502,
0.63-stable,531,0,0,0,0,0,0,0,0,0,0,0,0,0,531,
0.64-stable,539,0,0,0,0,0,0,0,0,0,0,0,0,0,539,
0.65-stable,559,0,0,0,0,0,0,0,0,0,0,0,0,0,559,
