Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.22-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.30-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.50-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.60-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
