Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.27-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.28-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.29-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.30-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.31-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.32-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.33-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.34-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.35-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.36-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.37-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.38-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.39-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.40-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.41-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.42-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.43-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.44-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.45-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.46-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.47-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.48-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.49-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.50-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.51-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.52-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.53-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.54-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.55-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.56-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.57-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.58-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.59-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
0.60-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
