Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.5-stable,126,0,0,0,0,0,0,0,0,0,0,12,0,0,138,
0.6-stable,134,0,0,0,0,0,0,0,0,0,0,12,0,0,146,
0.7-stable,134,0,0,0,0,0,0,0,0,0,6,12,0,0,152,
0.8-stable,134,0,0,0,0,0,0,0,0,0,6,12,0,0,152,
0.9-stable,134,0,0,0,0,0,0,0,0,0,6,12,0,0,152,
0.10-stable,124,0,0,0,0,0,0,0,0,0,6,12,0,0,142,
0.11-stable,124,0,0,0,0,0,0,0,0,0,66,15,0,0,205,
0.12-stable,154,0,0,0,0,0,0,0,0,0,70,15,0,0,239,
0.13-stable,154,0,0,0,0,0,0,0,0,0,64,15,0,0,233,
0.14-stable,179,0,0,0,0,0,0,0,0,0,64,20,0,0,263,
0.15-stable,180,0,0,0,0,0,0,0,0,0,75,20,0,0,275,
0.17-stable,180,0,0,0,0,0,0,0,0,0,75,25,0,0,280,
0.18-stable,182,0,0,0,0,0,0,0,0,0,75,25,0,0,282,
0.19-stable,184,0,0,0,0,0,0,0,0,0,75,25,0,0,284,
0.20-stable,184,0,0,0,0,0,0,0,0,0,75,25,0,0,284,
0.21-stable,184,0,0,0,0,0,0,0,0,0,75,25,0,0,284,
0.22-stable,184,0,0,0,0,0,0,0,0,0,75,25,0,0,284,
0.23-stable,194,0,0,0,0,0,0,0,0,0,75,26,0,0,295,
0.24-stable,194,0,0,0,0,0,0,0,0,0,75,26,0,0,295,
0.25-stable,194,0,0,0,0,0,0,0,0,0,75,26,0,0,295,
0.26-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.27-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.28-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.29-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.30-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.31-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.32-stable,194,0,0,0,0,0,0,0,0,0,76,26,0,0,296,
0.33-stable,195,0,0,0,0,0,0,0,0,0,76,26,0,0,297,
0.34-stable,195,0,0,0,0,0,0,0,0,0,76,26,0,0,297,
0.35-stable,195,0,0,0,0,0,0,0,0,0,76,26,0,0,297,
0.36-stable,195,0,0,0,0,0,0,0,0,0,76,26,0,0,297,
0.37-stable,231,0,0,0,0,0,0,0,0,0,76,26,0,0,333,
0.38-stable,231,0,0,0,0,0,0,0,0,0,76,26,0,0,333,
0.39-stable,249,0,0,0,0,0,0,0,0,0,76,26,0,0,351,
0.40-stable,242,0,0,0,0,0,0,0,0,0,76,26,0,0,344,
0.41-stable,242,0,0,0,0,0,0,0,0,0,76,26,0,0,344,
0.42-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.43-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.44-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.45-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.46-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.47-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.48-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.49-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.50-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.51-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.52-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.53-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.54-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.55-stable,245,0,0,0,0,0,0,0,0,0,76,26,0,0,347,
0.56-stable,252,0,0,0,0,0,0,0,0,0,76,26,0,0,354,
0.57-stable,252,0,0,0,0,0,0,0,0,0,76,26,0,0,354,
0.58-stable,255,0,0,0,0,0,0,0,0,0,79,26,0,0,360,
