Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.45-stable,0,0,0,0,0,0,80,0,0,0,0,0,0,0,80,
0.46-stable,0,0,0,0,0,0,79,0,0,0,0,0,0,0,79,
0.47-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.48-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.49-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.50-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.51-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.52-stable,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,
0.53-stable,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,
0.54-stable,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,
0.55-stable,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,
0.56-stable,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,
0.57-stable,0,0,0,0,0,0,74,0,0,0,0,0,0,0,74,
0.58-stable,0,0,0,0,0,0,87,0,0,0,0,0,0,0,87,
0.59-stable,0,0,0,0,0,0,87,0,0,0,0,0,0,0,87,
0.60-stable,0,0,0,0,0,0,107,0,0,0,0,0,0,0,107,
0.61-stable,0,0,0,0,0,0,107,0,0,0,0,0,0,0,107,
0.62-stable,0,0,0,0,0,0,107,0,0,0,0,0,0,0,107,
0.63-stable,0,0,0,0,0,0,111,0,0,0,0,0,0,0,111,
0.64-stable,0,0,0,0,0,0,389,0,0,0,0,0,0,0,389,
0.65-stable,0,0,0,0,0,0,164,0,0,0,0,0,0,0,164,
