Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Bourne Shell,Dockerfile
0.43-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,96,41,34
0.44-stable,22,0,0,0,0,0,0,0,0,0,0,0,0,0,98,41,35
0.45-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.46-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.47-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.48-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.49-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.50-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.51-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.52-stable,21,0,0,0,0,0,0,0,0,0,0,0,0,0,99,42,36
0.53-stable,20,0,0,0,0,0,0,0,0,0,0,0,0,0,90,42,28
0.54-stable,20,0,0,0,0,0,0,0,0,0,0,0,0,0,90,42,28
0.55-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,88,42,28
0.56-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,101,42,41
0.57-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,101,42,41
0.58-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,141,70,53
0.59-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,107,70,19
