Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.20-stable,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0.21-stable,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0.22-stable,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0.23-stable,75,0,0,0,0,0,0,0,0,0,0,0,0,0,75
0.24-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.25-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.26-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.27-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.28-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.29-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.30-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.31-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.32-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.33-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.34-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.35-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.36-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.37-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.38-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.39-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.40-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.41-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.42-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.43-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.44-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.45-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.46-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.47-stable,92,0,0,0,0,0,0,0,0,0,0,0,0,0,92
0.48-stable,85,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0.49-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.50-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.51-stable,76,0,0,0,0,0,0,0,0,0,0,0,0,0,76
0.52-stable,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68
0.53-stable,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68
0.54-stable,70,0,0,0,0,0,0,0,0,0,0,0,0,0,70
0.55-stable,65,0,0,0,0,0,0,0,0,0,0,0,0,0,65
0.56-stable,79,0,0,0,0,0,0,0,0,0,0,0,0,0,79
