Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.17-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.19-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.20-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.21-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.22-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.23-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.24-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.25-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.26-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.27-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.28-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.29-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.30-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.31-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.32-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.33-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.34-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.35-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.36-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.37-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.38-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.39-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.40-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.41-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.42-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.43-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.44-stable,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0.45-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.46-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.47-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.48-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.49-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.50-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.51-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.52-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.53-stable,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
0.54-stable,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
0.55-stable,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
0.56-stable,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0.57-stable,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
0.58-stable,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.59-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.60-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.61-stable,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0.62-stable,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0.63-stable,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
0.64-stable,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
0.65-stable,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182
