Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.37-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.38-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.39-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.40-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.41-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.42-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
0.43-stable,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,
0.44-stable,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,
0.45-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
0.46-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.47-stable,28,0,0,0,0,0,0,0,0,0,0,0,0,0,28,
0.48-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
0.49-stable,29,0,0,0,0,0,0,0,0,0,0,0,0,0,29,
0.50-stable,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
0.51-stable,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
0.52-stable,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
0.53-stable,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
0.54-stable,54,0,0,0,0,0,0,0,0,0,0,0,0,0,54,
0.55-stable,41,0,0,0,0,0,0,0,0,0,0,0,0,0,41,
0.56-stable,89,0,0,0,0,0,0,0,0,0,0,0,0,0,89,
0.57-stable,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,
0.58-stable,115,0,0,0,0,0,0,0,0,0,0,0,0,0,115,
0.59-stable,115,0,0,0,0,0,0,0,0,0,0,0,0,0,115,
0.60-stable,95,0,0,0,0,0,0,0,0,0,0,0,0,0,95,
0.61-stable,68,0,0,0,0,0,0,0,0,0,0,0,0,0,68,
0.62-stable,71,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
0.63-stable,82,0,0,0,0,0,0,0,0,0,0,0,0,0,82,
0.64-stable,82,0,0,0,0,0,0,0,0,0,0,0,0,0,82,
0.65-stable,91,0,0,0,0,0,0,0,0,0,0,0,0,0,91,
