Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.5-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.6-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.7-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.8-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.9-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.10-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.11-stable,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0.12-stable,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0.13-stable,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0.14-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.15-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.17-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.18-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.19-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.20-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.21-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.22-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.23-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.24-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.25-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.26-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.27-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.28-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.29-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.30-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.31-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.32-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.33-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.34-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.35-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.36-stable,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.37-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
