Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.27-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.28-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.29-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.30-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.31-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.32-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.33-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.34-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.35-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.36-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.37-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.38-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.39-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.40-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.41-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.42-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.43-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.44-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.45-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.46-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.47-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.48-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.49-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.50-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.51-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.52-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.53-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.54-stable,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
0.55-stable,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
0.56-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0.57-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0.58-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0.59-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
0.60-stable,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
