Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.40-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.41-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.42-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.43-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.44-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.45-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.46-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.47-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.48-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.49-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.50-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.51-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.52-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.53-stable,86,0,0,0,0,0,0,0,0,0,0,0,0,0,86
0.54-stable,92,0,0,0,0,0,0,0,0,0,0,0,0,0,92
0.55-stable,83,0,0,0,0,0,0,0,0,0,0,0,0,0,83
0.56-stable,93,0,0,0,0,0,0,0,0,0,0,0,0,0,93
0.57-stable,93,0,0,0,0,0,0,0,0,0,0,0,0,0,93
0.58-stable,93,0,0,0,0,0,0,0,0,0,0,0,0,0,93
