Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Bourne Shell,Dockerfile
0.43-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.44-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.45-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.46-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.47-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.48-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.49-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.50-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.51-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.52-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.53-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.54-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.55-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.56-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.57-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.58-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,
0.59-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,1,
