Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
11,0,267,29,0,46,0,0,0,43,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,410
12,0,282,29,0,46,0,0,0,73,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,455
13,0,293,29,0,47,0,0,0,76,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,470
14,0,288,29,0,47,0,0,0,76,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,465
15,0,308,29,0,47,0,0,0,45,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,454
17,0,360,29,0,49,0,0,0,76,3,0,0,0,0,0,3,0,0,0,14,2,2,0,1,0,0,0,0,0,0,0,0,539
18,2,380,30,0,49,0,0,0,46,3,0,0,0,0,0,3,0,0,0,13,2,2,0,1,0,0,0,0,0,0,0,0,531
19,2,400,32,0,53,0,0,0,46,3,0,0,0,0,0,4,0,0,0,13,2,2,0,1,0,0,0,0,0,0,0,0,558
20,2,449,34,0,55,0,0,0,46,3,0,0,0,0,0,4,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,613
21,2,437,36,0,59,0,0,0,46,3,0,0,0,0,0,4,0,0,0,13,2,2,0,2,0,0,0,0,0,0,0,0,606
22,2,464,37,0,70,0,0,0,47,3,0,0,0,0,0,3,0,0,0,13,2,2,0,2,0,0,0,0,0,0,0,0,645
23,2,456,39,0,72,0,0,0,50,3,0,0,0,0,0,3,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,645
24,2,482,39,0,72,0,0,0,50,3,0,0,0,0,0,3,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,671
25,2,490,39,0,72,0,0,0,50,3,0,0,0,0,0,3,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,679
26,3,479,39,0,72,0,0,0,52,3,0,0,0,0,0,3,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,671
27,11,509,50,0,90,0,0,0,22,3,0,0,0,0,0,3,0,0,0,14,2,2,0,2,0,0,0,0,0,0,0,0,708
28,15,516,56,0,93,0,0,0,22,3,0,0,0,0,0,3,0,0,0,15,2,3,0,2,0,0,0,0,0,0,0,0,730
29,23,531,58,0,93,0,0,0,22,3,0,0,0,0,0,2,0,0,0,15,2,3,0,2,0,0,0,0,0,0,0,0,754
30,24,542,58,0,93,0,0,0,22,3,0,0,0,0,0,2,0,0,0,15,2,3,0,2,0,0,0,0,0,0,0,0,766
31,24,538,58,0,95,0,0,0,22,3,0,0,0,0,0,1,0,0,0,15,2,3,0,2,0,0,0,0,0,0,0,0,763
32,25,535,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,712
33,25,548,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,725
34,25,554,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,731
35,25,558,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,735
36,25,567,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,744
37,25,598,37,0,72,0,0,0,22,3,0,0,0,0,0,0,0,0,0,11,2,3,0,2,0,0,0,0,0,0,0,0,775
38,25,601,38,0,77,0,0,0,22,3,0,0,0,0,0,0,0,0,0,13,2,3,0,2,0,0,0,0,0,0,0,0,786
39,24,579,39,0,75,0,0,0,22,4,0,0,0,0,0,0,0,0,0,12,2,3,0,2,0,0,0,0,0,0,0,0,762
40,25,607,39,0,80,0,0,0,22,4,0,0,0,0,0,0,0,0,0,14,2,3,0,2,0,0,0,0,0,0,0,0,798
41,25,642,39,0,75,0,0,0,22,5,0,0,0,0,0,0,0,0,0,12,2,3,0,2,0,0,0,0,0,0,0,0,827
42,26,683,39,0,80,0,0,0,22,5,0,0,0,0,0,0,0,0,0,14,2,3,0,2,0,0,0,0,0,0,0,0,876
43,26,694,39,0,80,0,0,0,22,5,0,0,0,0,0,0,0,0,0,14,2,3,0,2,0,0,0,0,0,0,0,0,887
44,25,669,40,0,76,0,0,0,23,5,0,0,0,0,0,0,0,0,0,12,2,3,0,2,0,0,0,0,0,0,0,0,857
