Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.20-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.21-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.22-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.23-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.24-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.25-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.26-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.27-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.28-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.29-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.30-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.31-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.32-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.33-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.34-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.35-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.36-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.37-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.38-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.39-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.40-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.41-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.42-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.43-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.44-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.45-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.46-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.47-stable,8,0,0,0,0,0,0,0,0,0,1,1,0,0,10
0.48-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.49-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.50-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.51-stable,7,0,0,0,0,0,0,0,0,0,1,1,0,0,9
0.52-stable,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8
0.53-stable,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8
0.54-stable,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8
0.55-stable,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8
0.56-stable,6,0,0,0,0,0,0,0,0,0,1,1,0,0,8
