Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Sum stats
0.17-stable,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
0.18-stable,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
0.19-stable,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
0.20-stable,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
0.21-stable,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
0.22-stable,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
0.23-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.24-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.25-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.26-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.27-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.28-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.29-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.30-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.31-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.32-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.33-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.34-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.35-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.36-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.37-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.38-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.39-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.40-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.41-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.42-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.43-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.44-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.45-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.46-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.47-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.48-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.49-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.50-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.51-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.52-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.53-stable,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
0.54-stable,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,9
0.55-stable,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,9
0.56-stable,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5
0.57-stable,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5
0.58-stable,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4
0.59-stable,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4
0.60-stable,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4
0.61-stable,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5
0.62-stable,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5
0.63-stable,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8
0.64-stable,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8
0.65-stable,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,8
