Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.23-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.24-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.25-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.26-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.27-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.28-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.29-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.30-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.31-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0.32-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0.33-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0.34-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0.35-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.36-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.37-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.38-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.39-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.40-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.41-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.42-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.43-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.44-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.45-stable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
0.46-stable,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
0.47-stable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
0.48-stable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
0.49-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.50-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.51-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.52-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.53-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.54-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.55-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.56-stable,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
0.57-stable,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
0.58-stable,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
0.59-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.60-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.61-stable,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
0.62-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.63-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.64-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
0.65-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
