Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.37-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.38-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.39-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.40-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.41-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.42-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.43-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.44-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.45-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.46-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.47-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.48-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.49-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.50-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.51-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.52-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.53-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.54-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.55-stable,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
0.56-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.57-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.58-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.59-stable,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
0.60-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
0.61-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
0.62-stable,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
0.63-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.64-stable,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,
0.65-stable,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
