Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.5-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.6-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.7-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.8-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.9-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.10-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.11-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.12-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.13-stable,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
0.14-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.15-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.17-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.18-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.19-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.20-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.21-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.22-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.23-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.24-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.25-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.26-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.27-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.28-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.29-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.30-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.31-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.32-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.33-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.34-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.35-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.36-stable,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
0.37-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.38-stable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
