Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version
0.45-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.46-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.47-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.48-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.49-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.50-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.51-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.52-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.53-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.54-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.55-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.56-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.57-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.58-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.59-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.60-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.61-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.62-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.63-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
0.64-stable,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
0.65-stable,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
