Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
26,0,0,2380,0,1236,0,0,85,0
27,0,0,2473,0,1361,0,0,87,0
28,0,0,2604,0,1769,0,0,157,0
29,0,0,3077,0,1867,0,0,187,0
30,0,0,3093,0,1889,0,0,187,0
31,0,0,3369,0,2058,0,0,190,0
32,0,0,4308,0,2208,0,0,222,0
33,0,0,4316,0,2208,0,0,222,0
34,0,0,4422,0,2236,0,0,224,0
35,0,0,4592,0,2236,0,0,246,0
36,0,0,4655,0,2270,0,0,224,0
37,0,0,4750,0,2319,0,0,225,0
38,0,0,6031,0,3098,0,0,336,0
39,0,0,6267,2760,3821,0,0,352,0
40,0,0,6435,2777,4125,0,0,357,0
41,0,0,6494,3115,4211,0,0,359,0
42,0,0,6490,3295,4202,0,0,376,0
43,0,0,6419,3557,4202,0,0,389,0
44,0,0,4808,3591,3416,0,0,366,0
45,0,0,4364,3913,3268,0,0,372,0
46,0,0,4390,3971,3322,0,0,325,0
47,0,0,4457,3997,3361,0,0,325,0
48,0,0,4153,4009,3343,0,0,319,0
49,0,0,4259,4019,3379,0,0,303,0
50,0,0,4509,4050,3527,0,0,332,0
51,0,0,4513,4193,3539,0,0,332,0
52,0,0,8619,0,3792,0,0,362,0
53,0,0,9282,0,3990,0,0,362,0
54,0,0,9628,0,4103,0,0,396,0
55,0,0,10052,0,4174,0,0,538,0
56,0,0,14108,0,9474,0,0,1236,0
57,0,0,14633,0,11027,0,0,1749,0
58,0,0,15953,0,13734,0,0,1793,0
59,0,0,17610,0,15889,0,0,2059,0
60,2236,0,27233,0,21545,0,42,2487,0
61,2298,0,29877,0,22373,0,42,2438,0
62,2300,0,32907,0,25164,0,55,3194,0
63,2297,0,36659,0,27978,0,55,3360,0
64,2305,277,44975,0,31422,0,55,4105,0
65,2272,290,51238,0,34142,0,55,4598,0
