Version Name,JavaScript,Java, C++ source, C source,C/C++ Header,Ruby,Shell,BUCK,XML
5,114,0,0,0,0,0,0,0,0
6,114,0,0,0,0,0,0,0,0
7,111,0,0,0,0,0,0,0,0
8,111,0,0,0,0,0,0,0,0
9,111,0,0,0,0,0,0,0,0
10,111,0,0,0,0,0,0,0,0
11,111,0,0,0,0,0,0,0,0
12,76,0,0,0,0,0,0,0,0
13,76,0,0,0,0,0,0,0,0
14,42,0,0,0,0,0,0,0,0
15,42,0,0,0,0,0,0,0,0
17,43,0,0,0,0,0,0,0,0
18,49,0,0,0,0,0,0,0,0
19,51,0,0,0,0,0,0,0,0
20,52,0,0,0,0,0,0,0,0
21,52,0,0,0,0,0,0,0,0
22,52,0,0,0,0,0,0,0,0
23,53,0,0,0,0,0,0,0,0
24,53,0,0,0,0,0,0,0,0
25,53,0,0,0,0,0,0,0,0
26,53,0,0,0,0,0,0,0,0
27,53,0,0,0,0,0,0,0,0
28,53,0,0,0,0,0,0,0,0
29,53,0,0,0,0,0,0,0,0
30,53,0,0,0,0,0,0,0,0
31,66,0,0,0,0,0,0,0,0
32,79,0,0,0,0,0,0,0,0
33,79,0,0,0,0,0,0,0,0
34,79,0,0,0,0,0,0,0,0
35,79,0,0,0,0,0,0,0,0
36,79,0,0,0,0,0,0,0,0
37,13,0,0,0,0,0,0,0,0
38,13,0,0,0,0,0,0,0,0
