Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
43,26,0,0,0,0,33,0,0,0,79,138
44,27,0,0,0,0,42,0,0,0,79,148
45,28,0,0,0,0,43,0,0,0,80,151
46,28,0,0,0,0,43,0,0,0,80,151
47,28,0,0,0,0,43,0,0,0,80,151
48,28,0,0,0,0,43,0,0,0,80,151
49,28,0,0,0,0,43,0,0,0,80,151
50,28,0,0,0,0,43,0,0,0,80,151
51,28,0,0,0,0,43,0,0,0,80,151
52,28,0,0,0,0,43,0,0,0,80,151
53,28,0,0,0,0,33,0,0,0,80,141
54,28,0,0,0,0,33,0,0,0,80,141
55,28,0,0,0,0,33,0,0,0,80,141
56,28,0,0,0,0,31,0,0,0,80,139
57,28,0,0,0,0,31,0,0,0,80,139
58,28,0,0,0,0,34,0,0,0,80,142
59,28,0,0,0,0,13,0,0,0,80,121
