Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,663,0,0,120,0,13,0,0,0,0,796
6,690,0,0,124,0,13,0,0,0,0,827
7,850,0,0,383,0,131,0,0,0,0,1364
8,909,0,0,415,39,131,0,0,0,0,1494
9,967,0,0,489,39,131,0,0,0,0,1626
10,1001,0,0,536,39,131,0,0,0,0,1707
11,1128,46,0,553,39,148,0,15,0,0,1929
12,1096,46,0,579,39,160,0,15,0,0,1935
13,1096,30,0,509,75,151,0,12,0,0,1873
14,1103,30,0,510,75,149,0,12,0,0,1879
15,1158,30,0,517,75,149,0,12,0,0,1941
17,1166,30,0,618,75,160,0,12,0,0,2061
18,1160,30,0,637,75,160,0,12,0,0,2074
19,1180,30,0,643,75,160,0,12,0,0,2100
20,1216,30,0,654,75,160,0,12,0,0,2147
21,1289,30,0,654,75,160,0,12,0,0,2220
22,1424,16,0,754,75,160,0,12,0,0,2441
23,1445,16,0,803,75,160,0,12,0,0,2511
24,1471,20,0,812,75,185,0,12,0,0,2575
25,1484,20,0,812,87,185,0,14,0,0,2602
26,1528,20,0,784,87,185,0,14,0,0,2618
27,1479,20,0,781,87,185,0,14,0,0,2566
28,1393,20,0,804,87,185,0,14,0,0,2503
29,1494,29,0,809,87,185,0,14,0,0,2618
30,1556,29,0,809,87,185,0,14,0,0,2680
31,1581,29,0,795,87,185,0,14,0,0,2691
32,1650,29,0,800,87,185,0,14,0,0,2765
33,1671,44,0,802,87,189,0,20,0,0,2813
34,1746,44,0,809,87,189,0,20,0,0,2895
35,1751,44,0,809,87,189,0,20,0,0,2900
36,1751,44,0,824,87,189,0,20,0,0,2915
37,1759,44,0,811,87,190,0,20,0,0,2911
38,1769,44,0,835,87,190,0,20,0,0,2945
39,1776,44,0,834,87,190,0,20,0,0,2951
40,1778,44,0,855,87,189,0,21,0,0,2974
41,1776,44,0,856,87,189,0,21,0,0,2973
42,1770,44,0,871,87,189,0,21,0,0,2982
43,1653,44,0,871,87,189,0,21,0,0,2865
44,1391,20,0,972,63,172,0,9,0,0,2627
