Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,2930,0,0,1201,0,313,4444
6,3029,0,0,1189,0,312,4530
7,3100,0,0,1327,0,321,4748
8,3556,0,0,1392,0,338,5286
9,3663,0,0,1438,0,356,5457
10,3695,0,0,1448,0,360,5503
11,3902,0,0,1455,0,360,5717
12,4048,0,0,1515,0,470,6033
13,4246,0,0,1571,0,489,6306
14,4346,0,0,1585,0,488,6419
15,4399,0,0,1631,0,496,6526
17,4492,0,0,1709,0,508,6709
18,4612,0,0,1723,0,510,6845
19,4669,0,0,1724,0,512,6905
20,4745,0,0,1741,0,523,7009
21,4927,0,0,1745,0,523,7195
22,5232,0,0,1789,0,534,7555
23,5495,0,0,1802,0,540,7837
24,5709,0,0,1795,0,540,8044
25,5797,0,0,1803,0,541,8141
26,5470,0,0,1811,0,540,7821
27,5406,0,0,1801,0,531,7738
28,5225,0,0,1818,0,535,7578
29,5302,0,0,1959,0,616,7877
30,5305,0,0,1970,0,616,7891
31,5217,0,0,1978,0,615,7810
32,5339,0,0,2002,0,621,7962
33,5359,0,0,2053,0,630,8042
34,5407,0,0,2091,0,650,8148
35,5443,0,0,2092,0,650,8185
36,5473,0,0,2110,0,657,8240
37,5406,0,0,2166,0,669,8241
38,6906,0,0,2207,1,677,9791
39,6938,0,0,2234,1,676,9849
40,6959,0,0,2280,1,719,9959
41,7014,0,0,2282,1,719,10016
42,7002,0,0,2277,1,711,9991
43,9193,0,0,2295,1,722,12211
44,8400,0,0,2340,1,736,11477
45,8549,0,0,2339,1,745,11634
46,6249,0,0,2413,0,754,9416
47,6257,0,0,2422,0,772,9451
48,6507,0,0,2514,0,820,9841
49,6071,0,18,2535,17,827,9468
50,5888,0,18,2540,17,832,9295
51,5917,0,18,2683,17,933,9568
52,6867,0,18,2767,17,990,10659
53,6894,0,18,2771,17,1028,10728
54,8323,0,18,2929,17,1119,12406
55,8462,0,18,3000,17,1152,12649
56,9217,0,18,3031,17,1166,13449
57,9770,0,18,3045,17,1172,14022
58,10048,0,18,3083,17,1181,14347
59,10524,0,18,3116,17,1180,14855
60,10305,0,0,2955,0,1178,14438
61,14861,0,0,3816,0,1626,20303
62,22237,0,0,4094,0,1612,27943
63,20189,0,0,4130,0,1628,25947
64,21061,0,0,2776,0,986,24823
65,21088,0,0,2788,0,985,24861
