Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
45,1371,20,0,1001,63,172,0,9,0,0,2636
46,1389,20,0,1015,63,172,0,9,0,0,2668
47,1391,20,0,1013,63,172,0,9,0,0,2668
48,1400,20,0,1014,63,172,0,9,0,0,2678
49,1401,20,0,1018,63,172,0,9,0,0,2683
50,1424,20,0,1020,63,172,0,9,0,0,2708
51,1444,20,0,1020,63,172,0,9,0,0,2728
52,1443,20,0,1021,63,172,0,9,0,0,2728
53,1443,20,0,1021,63,172,0,9,0,0,2728
54,1447,20,0,964,63,172,0,9,0,0,2675
55,1471,20,0,993,63,153,0,9,0,0,2709
56,1548,20,0,993,66,153,0,9,0,0,2789
57,1601,20,0,993,66,154,0,8,0,0,2842
58,1712,20,0,990,76,155,0,8,0,0,2961
59,1694,20,0,998,76,156,0,8,0,0,2952
60,1619,20,5,1208,76,238,5,10,0,0,3181
61,1584,14,5,1219,72,238,5,10,0,0,3147
62,1617,24,0,1216,71,238,5,11,0,0,3182
63,1677,30,0,1280,71,251,6,11,0,0,3326
