Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,105,2075,0,651,0,0,0,0,2831
6,0,0,105,2243,0,706,0,0,0,0,3054
7,0,0,105,2332,0,761,0,0,0,0,3198
8,0,0,105,2299,0,753,0,0,0,0,3157
9,0,0,105,2395,0,773,0,0,0,0,3273
10,0,0,105,2526,0,819,0,0,0,0,3450
11,0,0,105,2576,0,841,0,0,0,0,3522
12,0,0,185,2641,0,878,0,0,0,0,3704
13,0,0,185,2603,0,874,0,0,0,0,3662
14,0,0,185,2625,0,951,0,0,0,0,3761
15,0,0,185,2746,0,986,0,0,0,0,3917
17,0,0,185,2855,0,1013,0,0,0,0,4053
18,0,0,187,2927,0,1056,0,0,0,0,4170
19,0,0,187,2947,0,1058,0,0,0,0,4192
20,0,0,187,2975,0,1064,0,0,0,0,4226
21,0,0,187,2988,0,1066,0,0,0,0,4241
22,0,0,187,3017,0,1086,0,0,0,0,4290
23,0,0,187,3076,0,1098,0,0,0,0,4361
24,0,0,192,3088,0,1109,0,0,0,0,4389
25,0,0,192,3093,0,1110,0,0,0,0,4395
26,0,0,192,3130,0,1113,0,0,0,0,4435
27,0,0,192,3161,0,1123,0,0,0,0,4476
28,0,0,267,3247,0,1150,0,0,0,0,4664
29,0,0,279,3251,0,1172,0,0,0,0,4702
30,0,0,279,3265,0,1177,0,0,0,0,4721
31,0,0,309,3304,0,1248,0,0,0,0,4861
32,0,0,316,3310,0,1249,0,0,0,0,4875
33,0,0,302,3342,0,1259,0,0,0,0,4903
34,0,0,292,3364,0,1272,0,0,0,0,4928
35,0,0,305,3362,0,1269,0,0,0,0,4936
36,0,0,311,3387,0,1286,0,0,0,0,4984
37,0,0,332,3426,0,1300,0,0,0,0,5058
38,0,0,329,3472,0,1318,0,0,0,0,5119
39,0,0,359,3503,0,1332,0,0,0,0,5194
40,0,0,359,3501,0,1312,0,0,0,0,5172
41,0,0,0,3594,0,1271,0,0,0,0,4865
42,0,0,0,3995,0,1353,0,0,0,0,5348
43,0,0,0,4123,0,1444,0,0,0,0,5567
44,0,0,0,4011,0,1436,0,0,0,0,5447
45,0,0,0,4066,0,1475,0,0,0,0,5541
46,0,0,0,4085,0,1477,0,0,0,0,5562
47,0,0,0,4216,0,1538,0,0,0,0,5754
48,0,0,0,4219,0,1552,0,0,0,0,5771
49,0,0,0,4307,0,1604,0,0,0,0,5911
50,0,0,0,4393,0,1693,0,0,0,0,6086
51,0,0,0,4405,0,1683,0,0,0,0,6088
52,0,0,0,4646,0,1800,0,0,0,0,6446
53,0,0,0,4728,0,1806,0,0,0,0,6534
54,0,0,0,4408,0,1789,0,0,0,0,6197
55,0,0,0,4533,0,1871,0,0,0,0,6404
56,0,0,0,4922,0,2113,0,0,0,0,7035
57,0,0,0,5154,0,2153,0,0,0,0,7307
58,0,0,0,5119,0,2129,0,0,0,0,7248
59,0,0,0,5190,0,2173,0,0,0,0,7363
60,0,0,0,5122,0,2171,17,0,0,0,7310
61,0,0,0,5429,0,2200,12,0,0,0,7641
62,0,0,8,5737,0,2212,12,0,0,0,7969
63,0,0,8,5813,0,2211,12,0,0,0,8044
64,0,0,0,6803,0,2454,21,0,0,0,9278
65,0,0,0,6923,0,2488,21,0,0,0,9432
