Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
11,0,3526,594,0,47,1276,0,39,0,32,5514
12,0,3675,598,0,47,1275,0,68,0,32,5695
13,0,3921,607,0,47,1292,0,68,0,32,5967
14,0,4015,620,0,47,1293,0,68,0,32,6075
15,0,4246,621,0,47,1293,0,39,0,32,6278
17,0,5178,664,0,47,1314,0,68,0,32,7303
18,26,5728,695,0,47,1325,0,39,0,32,7892
19,26,6113,778,0,47,1383,0,40,0,33,8420
20,26,7215,804,0,47,1403,0,40,0,33,9568
21,26,7241,816,0,47,1427,0,40,0,33,9630
22,26,7420,851,0,11,1614,0,44,0,32,9998
23,26,7532,886,0,11,1633,0,49,0,32,10169
24,26,7782,886,0,11,1633,0,49,0,32,10419
25,26,7894,895,0,11,1633,0,49,0,32,10540
26,33,8042,887,0,11,1634,0,53,0,32,10692
27,117,8352,1190,0,13,1851,0,23,0,32,11578
28,139,9055,1213,0,13,1913,0,23,0,32,12388
29,200,9303,1258,0,13,1913,0,23,0,10,12720
30,212,9526,1258,0,13,1913,0,23,0,10,12955
31,212,9555,1261,0,13,1939,0,23,0,4,13007
32,241,9492,726,0,13,1670,0,23,0,0,12165
33,241,9705,726,0,13,1670,0,23,0,0,12378
34,241,9840,725,0,13,1670,0,23,0,0,12512
35,241,9886,725,0,13,1670,0,23,0,0,12558
36,241,10001,725,0,13,1670,0,23,0,0,12673
37,241,10153,725,0,13,1671,0,23,0,0,12826
38,241,10237,746,0,13,1719,0,23,0,0,12979
39,236,10225,794,0,13,1862,0,23,0,0,13153
40,241,10069,796,0,13,1895,0,29,0,0,13043
41,233,11460,799,0,26,1864,0,29,0,0,14411
42,242,11719,769,0,26,1900,0,29,0,0,14685
43,247,11904,767,0,26,1901,0,29,0,0,14874
44,242,12003,775,0,26,1882,0,30,0,0,14958
45,252,12091,759,0,26,1864,0,31,0,0,15023
46,252,12282,826,0,26,1908,0,32,0,0,15326
47,252,12217,829,0,26,1905,0,31,0,0,15260
48,252,12387,826,0,26,1907,0,32,0,0,15430
49,252,12285,839,0,26,1917,0,31,0,0,15350
50,252,12513,851,0,26,1925,0,35,0,0,15602
51,252,12639,854,0,26,1931,0,35,0,0,15737
52,252,12812,849,0,26,1928,0,36,0,0,15903
53,252,12842,849,0,26,1928,0,35,0,0,15932
54,252,12964,855,0,26,1926,0,111,0,0,16134
55,252,13199,862,0,26,1926,0,111,0,0,16376
56,246,13705,981,0,26,1988,0,113,0,0,17059
57,246,12474,985,0,13,1981,0,115,0,0,15814
58,291,12472,855,0,13,1992,0,114,0,0,15737
59,293,12940,982,0,13,2093,0,111,0,0,16432
60,301,13147,1078,0,13,2179,0,114,0,0,16832
61,305,12375,1133,0,13,2235,0,115,0,0,16176
62,298,13830,856,0,13,1210,0,114,0,0,16321
63,298,14146,1958,0,13,1396,0,114,0,0,17925
64,298,13714,994,0,13,1508,0,109,0,0,16636
65,298,14075,954,0,13,1369,0,109,0,0,16818
