Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
26,0,0,379,0,0,238,617
27,0,0,410,0,0,273,683
28,0,0,437,0,0,369,806
29,0,0,518,0,0,387,905
30,0,0,524,0,0,391,915
31,0,0,570,0,0,423,993
32,0,0,695,0,0,452,1147
33,0,0,695,0,0,452,1147
34,0,0,710,0,0,455,1165
35,0,0,731,0,0,455,1186
36,0,0,742,0,0,453,1195
37,0,0,762,0,0,467,1229
38,0,0,1024,0,5,679,1708
39,0,0,1425,0,5,812,2242
40,0,0,1458,0,5,888,2351
41,0,0,1489,0,5,903,2397
42,0,0,1513,0,5,912,2430
43,0,0,1521,0,5,901,2427
44,0,0,1201,0,0,703,1904
45,0,0,1157,0,0,685,1842
46,0,0,1154,0,0,699,1853
47,0,0,1166,0,0,711,1877
48,0,0,1127,0,0,705,1832
49,0,0,1141,0,0,710,1851
50,0,0,1188,0,0,748,1936
51,0,0,1197,0,0,749,1946
52,0,0,1163,0,0,795,1958
53,0,0,1243,0,0,809,2052
54,0,0,1261,0,0,805,2066
55,0,0,1335,0,0,836,2171
56,0,0,2134,137,0,1958,4229
57,0,0,2180,161,0,2266,4607
58,0,0,2235,164,0,2434,4833
59,0,0,2526,261,0,2876,5663
60,409,0,4238,383,31,3995,9056
61,408,0,4607,377,31,4101,9524
62,419,0,4979,433,31,4530,10392
63,418,0,5510,513,31,4882,11354
64,421,36,6528,564,31,5800,13380
65,404,38,7423,599,31,6342,14837
