Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,5446,0,105,3428,659,1258,10896
6,5572,0,105,3588,680,1312,11257
7,5934,0,105,4042,828,1491,12400
8,6472,0,105,4106,903,1500,13086
9,6643,0,105,4349,913,1564,13574
10,6747,0,105,4537,900,1618,13907
11,7463,3680,699,4637,1185,3074,20738
12,7680,3830,783,4815,1180,3425,21713
13,7983,4060,792,4766,1321,3462,22384
14,8070,4060,805,4803,1397,3569,22704
15,8196,4291,806,4977,1422,3585,23277
17,8707,5223,849,5265,1704,3677,25425
18,8970,5764,882,5370,1721,3785,26492
19,9123,6149,965,5397,1766,3854,27254
20,9438,7251,991,5453,1781,3895,28809
21,9547,7277,1003,5470,1831,3917,29045
22,9497,7442,1038,5643,1928,4147,29695
23,9762,7554,1073,5764,1944,4185,30282
24,10020,7808,1078,5964,1966,4261,31097
25,10045,7920,1087,5977,2183,4251,31463
26,9757,8068,1417,5994,2221,4457,31914
27,10388,8435,1761,6012,2274,4713,33583
28,10175,9138,1886,6138,2283,4903,34523
29,10437,9399,2041,6285,2245,5049,35456
30,10541,9622,2047,6310,2249,5057,35826
31,10464,9651,2126,6157,2269,5145,35812
32,11821,9588,1737,6192,2264,4940,36542
33,12123,9816,1723,6277,2364,4973,37276
34,12326,9951,1727,6344,2383,5035,37766
35,12533,9997,1761,6343,2449,5070,38153
36,12679,10112,1778,6401,2459,5106,38535
37,12538,10264,1819,6483,2464,5145,38713
38,14042,10349,2099,6594,2527,5439,41050
39,14245,10337,2219,6651,2560,5669,41681
40,17108,10181,2593,6716,2634,5932,45164
41,14460,11572,2288,6812,2664,5921,43717
42,14757,11831,2282,7223,2695,6527,45315
43,16986,12016,2288,7369,2754,6715,48128
44,15832,12091,1976,7403,2765,5996,46063
45,16200,12179,1916,7486,3023,6059,46863
46,10908,12370,1980,7593,3101,6136,42088
47,10917,12303,1995,7731,3159,6225,42330
48,11186,12473,1953,7773,3253,6125,42763
49,10824,12372,1998,7886,3355,6214,42649
50,10771,12600,2057,7979,3556,6363,43326
51,10770,12726,2069,8134,3636,6472,43807
52,10701,12899,2030,8460,992,6280,41362
53,10723,12929,2110,8546,992,6327,41627
54,12240,13051,2134,8327,471,6516,42739
55,12401,13286,2215,8552,471,6653,43578
56,13314,13792,3133,9078,461,8115,47893
57,13918,12561,3183,9348,437,8469,47916
58,14417,12566,3108,9382,349,8666,48488
59,13673,12972,3530,9593,283,9202,49253
60,13899,13179,5325,9696,329,10424,52852
61,19485,12525,5750,10874,333,11086,60053
62,27125,14022,5849,11512,357,10507,69372
63,25200,14344,7482,11768,366,11054,70214
64,26711,14332,7544,11469,367,12012,72435
65,26933,14700,8399,11632,367,12389,74420
