Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
23,6,0,0,0,0,0,0,0,0,0,6
24,6,0,0,0,0,0,0,0,0,0,6
25,13,0,0,0,0,0,0,0,0,0,13
26,13,0,0,0,0,0,0,0,0,0,13
27,13,0,0,0,0,0,0,0,0,0,13
28,13,0,0,0,0,0,0,0,0,0,13
29,13,0,0,0,0,0,0,0,0,0,13
30,13,0,0,0,0,0,0,0,0,0,13
31,14,0,0,0,0,0,0,0,0,0,14
32,14,0,0,0,0,0,0,0,0,0,14
33,14,0,0,0,0,0,0,0,0,0,14
34,14,0,0,0,0,0,0,0,0,0,14
35,17,0,0,0,0,0,0,0,0,0,17
36,17,0,0,0,0,0,0,0,0,0,17
37,17,0,0,0,0,0,0,0,0,0,17
38,17,0,0,0,0,0,0,0,0,0,17
39,25,0,0,0,0,0,0,0,0,0,25
40,25,0,0,0,0,0,0,0,0,0,25
41,25,0,0,0,0,0,0,0,0,0,25
42,25,0,0,0,0,0,0,0,0,0,25
43,25,0,0,0,0,0,0,0,0,0,25
44,25,0,0,0,0,0,0,0,0,0,25
45,31,0,0,0,0,0,0,0,0,0,31
46,37,0,0,0,0,0,0,0,0,0,37
47,31,0,0,0,0,0,0,0,0,0,31
48,25,0,0,0,0,0,0,0,0,0,25
49,24,0,0,0,0,0,0,0,0,0,24
50,24,0,0,0,0,0,0,0,0,0,24
51,26,0,0,0,0,0,0,0,0,0,26
52,26,0,0,0,0,0,0,0,0,0,26
53,26,0,0,0,0,0,0,0,0,0,26
54,26,0,0,0,0,0,0,0,0,0,26
55,26,0,0,0,0,0,0,0,0,0,26
56,51,0,0,0,0,0,0,0,0,0,51
57,51,0,0,0,0,0,0,0,0,0,51
58,109,0,0,0,0,0,0,0,0,0,109
59,102,0,0,0,0,0,0,0,0,0,102
60,103,0,0,0,0,0,0,0,0,0,103
61,97,0,0,0,0,0,0,0,0,0,97
62,134,0,0,0,0,0,0,0,0,0,134
63,134,0,0,0,0,0,0,0,0,0,134
64,99,0,0,0,0,0,0,0,0,0,99
65,99,0,0,0,0,0,0,0,0,0,99
