Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
27,9,0,0,0,0,0,9
28,9,0,0,0,0,0,9
29,9,0,0,0,0,0,9
30,9,0,0,0,0,0,9
31,9,0,0,0,0,0,9
32,9,0,0,0,0,0,9
33,9,0,0,0,0,0,9
34,9,0,0,0,0,0,9
35,9,0,0,0,0,0,9
36,9,0,0,0,0,0,9
37,9,0,0,0,0,0,9
38,9,0,0,0,0,0,9
39,9,0,0,0,0,0,9
40,9,0,0,0,0,0,9
41,9,0,0,0,0,0,9
42,9,0,0,0,0,0,9
43,9,0,0,0,0,0,9
44,9,0,0,0,0,0,9
45,9,0,0,0,0,0,9
46,9,0,0,0,0,0,9
47,9,0,0,0,0,0,9
48,9,0,0,0,0,0,9
49,9,0,0,0,0,0,9
50,9,0,0,0,0,0,9
51,9,0,0,0,0,0,9
52,9,0,0,0,0,0,9
53,9,0,0,0,0,0,9
54,9,0,0,0,0,0,9
55,9,0,0,0,0,0,9
56,18,0,0,0,0,0,18
57,18,0,0,0,0,0,18
58,18,0,0,0,0,0,18
59,18,0,0,0,0,0,18
60,18,0,0,0,0,0,18
