Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
5,66,0,0,0,0,0,66
6,66,0,0,0,0,0,66
7,85,0,0,0,0,0,85
8,85,0,0,0,0,0,85
9,85,0,0,0,0,0,85
10,81,0,0,0,0,0,81
11,152,14,0,29,0,62,257
12,156,15,0,29,0,62,262
13,159,15,0,29,0,72,275
14,105,15,0,29,0,89,238
15,368,15,0,29,0,107,519
17,404,15,0,29,0,108,556
18,444,6,0,29,0,121,600
19,497,6,0,29,0,118,650
20,484,6,0,29,0,118,637
21,486,6,0,29,0,115,636
22,509,6,0,29,0,115,659
23,555,6,0,29,0,115,705
24,555,6,0,29,0,98,688
25,557,6,0,29,0,96,688
26,547,6,0,29,0,96,678
27,1178,63,0,29,0,98,1368
28,1183,63,0,29,0,98,1373
29,1198,67,0,26,0,98,1389
30,1217,67,0,26,0,98,1408
31,1189,67,0,26,0,98,1380
32,1212,67,0,26,0,98,1403
33,1450,67,0,26,0,100,1643
34,1488,67,0,26,0,100,1681
35,1514,67,0,26,0,101,1708
36,1536,67,0,26,0,101,1730
37,1540,67,0,26,0,101,1734
38,1521,68,0,26,0,103,1718
39,1593,68,0,26,0,103,1790
40,4351,68,0,26,0,179,4624
41,1579,68,0,26,0,179,1852
42,1667,68,0,26,30,182,1973
43,1711,68,0,26,30,182,2017
44,1571,68,0,26,30,111,1806
45,1575,68,0,26,30,111,1810
46,1505,68,0,26,30,111,1740
47,1487,66,0,26,30,116,1725
48,1441,66,0,26,30,116,1679
49,1519,67,0,26,30,117,1759
50,1633,67,0,26,30,118,1874
51,1577,67,0,26,30,118,1818
52,1551,67,0,26,30,117,1791
53,1552,67,0,26,30,117,1792
54,1629,67,0,26,30,116,1868
55,1631,67,0,26,30,116,1870
56,1641,67,0,26,30,105,1869
57,1646,67,0,26,30,106,1875
58,1583,74,0,26,14,113,1810
59,4,0,0,0,0,0,0
60,4,0,0,0,0,0,0
61,4,0,0,0,0,0,0
62,4,0,0,0,0,0,0
63,4,0,0,0,0,0,0
64,4,0,0,0,0,0,0
65,4,0,0,0,0,0,0
