Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,0,0,0,5,0,0,0,26,31
6,0,0,0,0,0,5,0,0,0,26,31
7,0,0,0,0,0,5,0,0,0,26,31
8,0,0,0,0,0,5,0,0,0,26,31
9,0,0,0,0,0,5,0,0,0,26,31
10,0,0,0,0,0,5,0,0,0,26,31
11,0,0,0,0,0,6,0,0,0,26,32
12,0,0,0,0,0,6,0,0,0,26,32
13,0,0,0,0,0,6,0,0,0,26,32
14,0,0,0,0,0,6,0,0,0,26,32
15,0,0,0,0,0,6,0,0,0,26,32
17,0,0,0,0,0,6,0,0,0,26,32
18,0,0,0,0,0,6,0,0,0,63,69
19,0,0,0,0,0,6,0,0,0,62,68
20,0,0,0,0,0,6,0,0,0,62,68
21,0,0,0,0,0,6,0,0,0,61,67
22,21,0,0,0,0,6,0,0,0,69,96
23,28,0,0,0,0,0,0,0,0,62,90
24,28,0,0,0,0,0,0,0,0,63,91
25,57,0,0,0,0,0,0,0,0,47,104
26,59,0,0,0,0,0,0,0,0,46,105
27,65,0,0,0,0,0,0,0,0,62,127
28,65,0,0,0,0,0,0,0,0,62,127
29,65,0,0,0,0,0,0,0,0,80,145
30,65,0,0,0,0,0,0,0,0,79,144
31,65,0,0,0,0,0,0,0,0,78,143
32,65,0,0,0,0,0,0,0,0,78,143
33,65,0,0,0,0,0,0,0,0,78,143
34,65,0,0,0,0,0,0,0,0,78,143
35,68,0,0,0,0,0,0,0,0,78,146
36,68,0,0,0,0,0,0,0,0,87,155
37,66,0,0,0,0,0,0,0,0,84,150
38,66,0,0,0,0,0,0,0,0,84,150
39,69,0,0,0,0,0,0,0,0,84,153
40,69,0,0,0,0,0,0,0,0,84,153
41,71,0,0,0,0,0,0,0,0,116,187
42,71,0,0,0,0,0,0,0,0,126,197
43,70,0,0,0,0,0,0,0,0,126,196
44,73,0,0,0,0,0,0,0,0,142,215
45,73,0,0,0,0,0,0,0,0,144,217
46,73,0,0,0,0,2,0,0,0,182,257
47,73,0,0,0,0,2,0,0,0,180,255
48,75,0,0,0,0,2,0,0,0,184,261
49,78,0,0,0,0,2,0,0,0,192,272
50,78,0,0,0,0,2,0,0,0,196,276
51,78,0,0,0,0,2,0,0,0,203,283
52,78,0,0,0,0,2,0,0,0,203,283
53,78,0,0,0,0,2,0,0,0,203,283
54,78,0,0,0,0,2,0,0,0,202,282
55,78,0,0,0,0,2,0,0,0,212,292
56,79,0,0,0,0,2,0,0,0,235,316
57,81,0,0,0,0,2,0,0,0,254,337
58,120,0,0,0,0,2,0,0,0,241,363
59,119,0,0,0,0,2,0,0,0,244,365
60,146,0,0,0,0,2,10,0,0,248,406
61,108,0,0,0,0,2,9,0,0,242,361
62,126,0,0,0,0,2,12,0,0,254,394
63,133,0,0,0,0,2,10,0,0,239,384
64,147,0,0,0,0,1,34,0,0,266,448
65,179,0,0,0,0,1,31,0,0,270,481
