Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,660,0,0,0,10,0,0,0,189,6,865
6,661,0,0,0,10,0,0,0,189,6,866
7,661,0,0,0,10,0,0,0,190,6,867
8,666,0,0,0,10,0,0,0,190,6,872
9,669,0,0,0,10,0,0,0,190,6,875
10,672,0,0,0,10,0,0,0,191,6,879
11,701,0,0,0,10,0,0,0,191,11,913
12,705,0,0,0,10,0,0,0,198,12,925
13,705,0,0,0,10,0,0,0,198,12,925
14,721,0,0,0,10,0,0,0,211,12,954
15,721,0,0,0,10,0,0,0,213,12,956
17,733,0,0,0,10,0,0,0,215,12,970
18,760,0,0,0,8,0,0,0,234,3,1005
19,760,0,0,0,8,0,0,0,234,3,1005
20,775,0,0,0,8,0,0,0,239,3,1025
21,776,0,0,0,8,0,0,0,239,3,1026
22,824,0,0,0,8,0,0,0,239,3,1074
23,822,0,0,0,8,0,0,0,247,3,1080
24,822,0,0,0,8,0,0,0,247,3,1080
25,831,0,0,0,8,0,0,0,252,3,1094
26,834,0,0,0,8,0,0,0,252,3,1097
27,843,0,0,0,8,0,0,0,267,3,1121
28,843,0,0,0,10,0,0,0,267,3,1123
29,852,0,0,0,10,0,0,0,286,3,1151
30,856,0,0,0,10,0,0,0,286,3,1155
31,859,0,0,0,10,0,0,0,286,3,1158
32,859,0,0,0,10,0,0,0,286,3,1158
33,859,0,0,0,10,0,0,0,288,3,1160
34,888,0,0,0,10,0,0,0,313,3,1214
35,902,0,0,0,10,0,0,0,326,3,1241
36,918,0,0,0,10,0,0,0,331,3,1262
37,918,0,0,0,10,0,0,0,331,3,1262
38,935,0,0,0,10,0,0,0,337,3,1285
39,944,0,0,0,10,0,0,0,337,3,1294
40,944,0,0,0,10,0,0,0,337,3,1294
41,946,0,0,0,10,0,0,0,337,3,1296
42,948,0,0,0,10,343,0,0,450,3,1754
43,947,0,0,0,10,340,0,0,449,3,1749
44,955,0,0,0,10,0,0,0,355,3,1323
45,962,0,0,0,10,0,0,0,383,3,1358
46,977,0,0,0,10,0,0,0,388,3,1378
47,976,0,0,0,10,0,0,0,389,3,1378
48,999,0,0,0,10,0,0,0,389,3,1401
49,999,0,0,0,10,0,0,0,393,3,1405
50,989,0,0,0,10,0,0,0,393,3,1395
51,989,0,0,0,10,0,0,0,393,3,1395
