Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
43,106,0,0,0,0,85,0,0,0,241,432
44,112,0,0,0,0,92,0,0,0,242,446
45,114,0,0,0,0,96,0,0,0,244,454
46,114,0,0,0,0,96,0,0,0,244,454
47,114,0,0,0,0,95,0,0,0,243,452
48,114,0,0,0,0,95,0,0,0,243,452
49,114,0,0,0,0,95,0,0,0,243,452
50,114,0,0,0,0,95,0,0,0,243,452
51,114,0,0,0,0,95,0,0,0,243,452
52,114,0,0,0,0,95,0,0,0,243,452
53,114,0,0,0,0,85,0,0,0,243,442
54,114,0,0,0,0,85,0,0,0,243,442
55,114,0,0,0,0,85,0,0,0,243,442
56,114,0,0,0,0,87,0,0,0,243,444
57,114,0,0,0,0,87,0,0,0,243,444
58,113,0,0,0,0,87,0,0,0,256,456
59,113,0,0,0,0,35,0,0,0,256,404
