Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,607,0,0,90,0,48,0,218,0,0,963
6,628,0,0,90,0,48,0,218,0,0,984
7,0,0,0,0,0,0,0,110,0,0,0
8,0,0,0,0,0,0,0,110,0,0,0
9,0,0,0,0,0,0,0,110,0,0,0
10,0,0,0,0,0,0,0,110,0,0,0
11,0,0,0,0,0,0,0,110,0,0,0
12,0,0,0,0,0,0,0,110,0,0,0
13,0,0,0,0,0,0,0,110,0,0,0
14,0,0,0,0,0,0,0,110,0,0,0
15,0,0,0,0,0,0,0,110,0,0,0
17,978,0,0,0,0,0,0,0,0,0,978
18,978,0,0,0,0,0,0,0,0,0,978
19,978,0,0,0,0,0,0,0,0,0,978
20,993,0,0,0,0,0,0,0,0,0,993
21,993,0,0,0,0,0,0,0,0,0,993
22,993,0,0,0,0,0,0,0,0,0,993
23,993,0,0,0,0,0,0,0,0,0,993
24,993,0,0,0,0,0,0,0,0,0,993
25,1007,0,0,0,0,0,0,0,0,0,1007
26,1007,0,0,0,0,0,0,0,0,0,1007
27,1007,0,0,0,0,0,0,0,0,0,1007
28,1007,0,0,0,0,0,0,0,0,0,1007
29,1007,0,0,0,0,0,0,0,0,0,1007
30,1007,0,0,0,0,0,0,0,0,0,1007
31,1007,0,0,0,0,0,0,0,0,0,1007
32,1001,0,0,0,0,0,0,0,0,0,1001
33,1001,0,0,0,0,0,0,0,0,0,1001
34,1001,0,0,0,0,0,0,0,0,0,1001
35,1001,0,0,0,0,0,0,0,0,0,1001
36,1001,0,0,0,0,0,0,0,0,0,1001
37,1001,0,0,0,0,0,0,0,0,0,1001
38,1014,0,0,0,0,0,0,0,0,0,1014
39,1014,0,0,0,0,0,0,0,0,0,1014
40,1014,0,0,0,0,0,0,0,0,0,1014
41,1014,0,0,0,0,0,0,0,0,0,1014
42,1256,0,0,0,0,0,0,0,0,18,1274
43,1256,0,0,0,0,0,0,0,0,18,1274
44,1256,0,0,0,0,0,0,0,0,18,1274
45,1283,0,0,0,0,0,0,0,0,18,1301
46,1291,0,0,0,0,0,0,0,0,18,1309
47,1327,0,0,0,0,0,0,0,0,18,1345
48,1365,0,0,0,0,0,0,0,0,18,1383
49,1365,0,0,0,0,0,0,0,0,18,1383
50,1367,0,0,0,0,0,0,0,0,18,1385
51,1367,0,0,0,0,0,0,0,0,18,1385
52,1357,0,0,0,0,0,0,0,0,18,1375
53,1357,0,0,0,0,0,0,0,0,18,1375
54,1357,0,0,0,0,0,0,0,0,18,1375
55,1357,0,0,0,0,0,0,0,0,18,1375
56,1375,0,0,0,0,0,0,0,0,18,1393
57,1374,0,0,0,0,0,0,0,0,18,1392
58,1472,0,0,0,0,0,0,0,0,9,1481
59,1473,0,0,0,0,0,0,0,0,9,1482
60,1435,0,0,0,0,0,0,0,0,9,1444
61,1508,0,0,0,0,0,0,0,0,9,1517
62,1517,0,0,0,0,0,0,0,0,9,1526
63,1517,0,0,0,0,0,0,0,0,9,1526
64,1519,0,0,0,0,0,0,0,0,9,1528
65,1538,0,0,0,0,0,0,0,0,9,1547
