Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,17328,0,0,5135,0,473,0,0,0,0,22936
6,18121,0,0,5157,0,467,0,0,0,0,23745
7,18551,0,0,5752,0,479,0,0,0,0,24782
8,20950,0,0,6081,0,527,0,0,0,0,27558
9,21410,0,0,6170,0,579,0,0,0,0,28159
10,21556,0,0,6259,0,581,0,0,0,0,28396
11,22688,0,0,6280,0,583,0,0,0,0,29551
12,23416,0,0,6544,0,1267,0,0,68,0,31295
13,24551,0,0,6764,0,1301,0,0,68,0,32684
14,24916,0,0,6828,0,1300,0,0,68,0,33112
15,24986,0,0,7061,0,1316,0,0,68,0,33431
17,25492,0,0,7391,0,1345,0,0,68,0,34296
18,26090,0,0,7505,0,1351,0,0,68,0,35014
19,26471,0,0,7525,0,1354,0,0,68,0,35418
20,26986,0,0,7669,0,1384,0,0,68,0,36107
21,28465,0,0,7715,0,1385,0,0,68,0,37633
22,29442,0,0,7907,0,1405,0,0,68,0,38822
23,31065,0,0,7967,0,1413,0,0,68,0,40513
24,32678,0,0,7961,0,1413,0,0,68,0,42120
25,33235,0,0,7991,0,1414,0,0,68,0,42708
26,31485,0,0,8023,0,1412,0,0,68,0,40988
27,31431,0,0,8065,0,1398,0,0,68,0,40962
28,30327,0,0,8228,0,1422,0,0,68,0,40045
29,30650,0,0,9025,0,1533,0,0,68,0,41276
30,30723,0,0,9076,0,1536,0,0,68,0,41403
31,30396,0,0,9173,0,1537,0,0,68,0,41174
32,31504,0,0,9207,0,1526,0,0,68,0,42305
33,31644,0,0,9447,0,1545,0,0,68,0,42704
34,31896,0,0,9614,0,1567,0,0,68,0,43145
35,32324,0,0,9643,0,1570,0,0,68,0,43605
36,32425,0,0,9739,0,1578,0,0,68,0,43810
37,32142,0,0,9986,0,1595,0,0,68,0,43791
38,40877,0,0,10136,4,1607,0,0,68,0,52692
39,40993,0,0,10269,4,1611,0,0,68,0,52945
40,41101,0,0,10361,4,1661,0,0,68,0,53195
41,41374,0,0,10377,4,1661,0,0,68,0,53484
42,41384,0,0,10373,4,1651,0,0,68,0,53480
43,54977,0,0,10404,4,1665,0,0,68,0,67118
44,52182,0,0,10534,4,1689,0,0,68,0,64477
45,53543,0,0,10573,4,1710,0,0,68,0,65898
46,44793,0,0,10751,0,1703,0,0,68,0,57315
47,45589,0,0,10806,0,1731,0,0,68,0,58194
48,46995,0,0,11175,0,1804,0,0,68,0,60042
49,47235,0,166,11277,58,1824,0,0,68,0,60628
50,42230,0,166,11346,58,1835,0,0,68,0,55703
51,42406,0,166,11741,58,1992,0,0,68,0,56431
52,50855,0,166,12039,58,2075,0,0,68,0,65261
53,51161,0,166,12019,58,2116,0,0,68,0,65588
54,69566,0,166,12246,58,2187,0,0,68,0,84291
55,71456,0,166,12545,58,2225,0,0,68,0,86518
56,86343,0,166,12663,58,2250,0,0,68,0,101548
57,95531,0,166,12855,58,2259,0,0,68,0,110937
58,95807,0,166,13105,58,2275,0,0,68,0,111479
59,102135,0,166,13199,58,2277,0,0,68,0,117903
60,101743,0,0,12594,0,2145,312,0,68,0,116862
61,179838,0,0,13399,0,4939,374,0,68,0,198618
62,188370,0,0,14586,0,5566,468,0,68,0,209058
63,173975,0,0,14769,0,5601,476,0,68,0,194889
64,178961,0,0,12005,0,1638,418,0,0,0,193022
65,181292,0,0,12088,0,1637,418,0,0,0,195435
