Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
45,17944,77,0,3869,101,1500,23491
46,18174,77,0,3943,101,1501,23796
47,18226,77,0,3943,101,1501,23848
48,18465,77,0,3946,101,1501,24090
49,18697,77,0,3969,101,1501,24345
50,19203,77,0,3996,101,1501,24878
51,19582,77,0,3991,101,1501,25252
52,19607,77,0,4008,101,1506,25299
53,19633,77,0,4008,101,1506,25325
54,19919,77,0,3847,101,1193,25137
55,20237,77,0,4001,101,1129,25545
56,21021,77,0,4000,106,1130,26334
57,21955,78,0,4000,106,1144,27283
58,22233,78,0,3988,119,1133,27551
59,22755,78,0,4015,119,1137,28104
60,22246,86,34,4963,119,1413,28861
61,21184,84,34,5031,114,1484,27931
62,21735,176,0,5062,115,1494,28582
63,22778,195,0,5276,115,1533,29897
