Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,0,0,572,10210,0,1193,0,0,0,0,11975
6,0,0,572,10819,0,1308,0,0,0,0,12699
7,0,0,572,11274,0,1401,0,0,0,0,13247
8,0,0,572,11071,0,1401,0,0,0,0,13044
9,0,0,572,11692,0,1426,0,0,0,0,13690
10,0,0,573,12173,0,1480,0,0,0,0,14226
11,0,0,573,12473,0,1516,0,0,0,0,14562
12,0,0,893,12640,0,1603,0,0,0,0,15136
13,0,0,893,12485,0,1603,0,0,0,0,14981
14,0,0,893,12578,0,1791,0,0,0,0,15262
15,0,0,893,13163,0,1880,0,0,0,0,15936
17,0,0,893,13580,0,1945,0,0,0,0,16418
18,0,0,928,14216,0,2020,0,0,0,0,17164
19,0,0,928,14330,0,2021,0,0,0,0,17279
20,0,0,928,14528,0,2026,0,0,0,0,17482
21,0,0,928,14627,0,2029,0,0,0,0,17584
22,0,0,928,14966,0,2051,0,0,0,0,17945
23,0,0,928,15286,0,2066,0,0,0,0,18280
24,0,0,953,15375,0,2102,0,0,0,0,18430
25,0,0,969,15420,0,2107,0,0,0,0,18496
26,0,0,969,15550,0,2113,0,0,0,0,18632
27,0,0,969,15820,0,2137,0,0,0,0,18926
28,0,0,1189,16274,0,2229,0,0,0,0,19692
29,0,0,1248,16336,0,2256,0,0,0,0,19840
30,0,0,1248,16408,0,2267,0,0,0,0,19923
31,0,0,1407,16886,0,2445,0,0,0,0,20738
32,0,0,1462,16949,0,2456,0,0,0,0,20867
33,0,0,1624,17137,0,2467,0,0,0,0,21228
34,0,0,1610,17283,0,2496,0,0,0,0,21389
35,0,0,1678,17273,0,2442,0,0,0,0,21393
36,0,0,1712,17465,0,2488,0,0,0,0,21665
37,0,0,1814,17669,0,2524,0,0,0,0,22007
38,0,0,1836,17801,0,2561,0,0,0,0,22198
39,0,0,2048,17957,0,2614,0,0,0,0,22619
40,0,0,2065,17870,0,2537,0,0,0,0,22472
41,0,0,0,18236,0,2308,0,0,0,0,20544
42,0,0,0,20019,0,2457,0,0,0,0,22476
43,0,0,0,20490,0,2587,0,0,0,0,23077
44,0,0,0,19915,0,2545,0,0,0,0,22460
45,0,0,0,20157,0,2611,0,0,0,0,22768
46,0,0,0,20257,0,2617,0,0,0,0,22874
47,0,0,0,20873,0,2734,0,0,0,0,23607
48,0,0,0,20886,0,2744,0,0,0,0,23630
49,0,0,0,21272,0,2831,0,0,0,0,24103
50,0,0,0,21622,0,2929,0,0,0,0,24551
51,0,0,0,21726,0,2936,0,0,0,0,24662
52,0,0,0,22740,0,3115,0,0,0,0,25855
53,0,0,0,23059,0,3130,0,0,0,0,26189
54,0,0,0,21483,0,3122,0,0,0,0,24605
55,0,0,0,21909,0,3267,0,0,0,0,25176
56,0,0,0,23321,0,3607,0,0,0,0,26928
57,0,0,0,24346,0,3710,0,0,0,0,28056
58,0,0,0,24132,0,3813,0,0,0,0,27945
59,0,0,0,24454,0,3793,0,0,0,0,28247
60,0,0,0,24324,0,3761,103,0,0,0,28188
61,0,0,0,26013,0,3831,72,0,0,0,29916
62,0,0,15,27065,0,3933,72,0,0,0,31085
63,0,0,15,28407,0,4107,73,0,0,0,32602
64,0,0,0,31269,0,6242,114,0,0,0,37625
65,0,0,0,31901,0,6318,114,0,0,0,38333
