Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
11,0,16355,2960,0,84,3748,0,535,0,111,23793
12,0,16715,2997,0,85,3748,0,627,0,110,24282
13,0,17861,3072,0,84,3811,0,643,0,110,25581
14,0,18292,3143,0,84,3815,0,647,0,110,26091
15,0,19262,3159,0,84,3819,0,544,0,110,26978
17,0,23548,3452,0,84,3869,0,639,0,110,31702
18,125,26189,3647,0,84,3913,0,553,0,110,34621
19,125,28037,3966,0,84,4082,0,556,0,112,36962
20,125,33099,4135,0,84,4173,0,556,0,112,42284
21,125,33256,4198,0,84,4283,0,556,0,112,42614
22,125,34016,4500,0,22,5280,0,577,0,110,44630
23,125,34727,4691,0,22,5309,0,610,0,110,45594
24,125,35889,4692,0,22,5307,0,610,0,111,46756
25,125,36456,4723,0,22,5310,0,610,0,111,47357
26,196,37514,4629,0,22,5312,0,631,0,111,48415
27,739,38668,5970,0,24,5902,0,301,0,111,51715
28,1011,42484,5977,0,24,6094,0,301,0,111,56002
29,1671,43619,6201,0,24,6102,0,299,0,36,57952
30,1852,44726,6204,0,24,6102,0,337,0,36,59281
31,1852,45160,6202,0,24,6177,0,337,0,13,59765
32,1868,45018,3325,0,24,5273,0,392,0,0,55900
33,1868,46106,3325,0,24,5275,0,405,0,0,57003
34,1868,47116,3326,0,24,5276,0,405,0,0,58015
35,1868,47347,3323,0,24,5276,0,405,0,0,58243
36,1868,48053,3323,0,24,5276,0,406,0,0,58950
37,1868,48469,3324,0,24,5284,0,406,0,0,59375
38,1868,48859,3404,0,24,5371,0,406,0,0,59932
39,1855,49017,3653,0,25,6263,0,406,0,0,61219
40,1867,48120,3680,0,25,6314,0,418,0,0,60424
41,1830,54974,3732,0,61,6264,0,418,0,0,67279
42,1871,55922,3624,0,61,6327,0,418,0,0,68223
43,1903,56938,3699,0,61,6326,0,418,0,0,69345
44,1891,58121,3753,0,61,6315,0,430,0,0,70571
45,1962,58492,3736,0,61,6278,0,436,0,0,70965
46,1972,59135,3991,0,61,6422,0,468,0,0,72049
47,1972,59261,4028,0,61,6406,0,436,0,0,72164
48,1972,59895,4016,0,61,6407,0,468,0,0,72819
49,1972,60203,4043,0,61,6419,0,436,0,0,73134
50,1972,61584,4083,0,61,6441,0,448,0,0,74589
51,1972,62418,4095,0,61,6459,0,448,0,0,75453
52,1972,62741,4056,0,61,6446,0,488,0,0,75764
53,1972,62903,4058,0,61,6446,0,456,0,0,75896
54,1972,64053,4181,0,61,6449,0,664,0,0,77380
55,1972,65342,4265,0,61,6449,0,664,0,0,78753
56,2095,67726,4653,0,61,6502,0,707,0,0,81744
57,2095,62183,4764,0,25,6490,0,697,0,0,76254
58,2313,62003,4123,0,25,6504,0,713,0,0,75681
59,2323,64210,4570,0,25,6807,0,713,0,0,78648
60,2338,64919,5292,0,25,7079,0,788,0,0,80441
61,2338,65452,5469,0,25,7237,0,790,0,0,81311
62,2302,69542,4652,0,25,3975,0,792,0,0,81288
63,2302,71029,6112,0,25,4730,0,793,0,0,84991
64,2302,69522,5626,0,25,5172,0,782,0,0,83429
65,2303,71075,5228,0,25,4637,0,786,0,0,84054
