Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
26,0,0,1919,0,0,826,0,0,0,0,2745
27,0,0,1960,0,0,895,0,0,0,0,2855
28,0,0,2058,0,0,1158,0,0,0,0,3216
29,0,0,2413,0,0,1227,0,0,0,0,3640
30,0,0,2429,0,0,1242,0,0,0,0,3671
31,0,0,2641,0,0,1372,0,0,0,0,4013
32,0,0,3126,0,0,1467,0,0,0,0,4593
33,0,0,3134,0,0,1467,0,0,0,0,4601
34,0,0,3219,0,0,1478,0,0,0,0,4697
35,0,0,3376,0,0,1478,0,0,0,0,4854
36,0,0,3431,0,0,1507,0,0,0,0,4938
37,0,0,3502,0,0,1539,0,0,0,0,5041
38,0,0,4472,0,12,2108,0,0,0,0,6592
39,0,0,6690,0,12,2606,0,0,0,0,9308
40,0,0,6834,0,12,2810,0,0,0,0,9656
41,0,0,7198,0,12,2866,0,0,0,0,10076
42,0,0,7350,0,12,2854,33,0,0,0,10249
43,0,0,7546,0,12,2856,33,0,0,0,10447
44,0,0,6344,0,0,2304,33,0,0,0,8681
45,0,0,6278,0,0,2227,33,0,0,0,8538
46,0,0,6362,0,0,2257,33,0,0,0,8652
47,0,0,6428,0,0,2277,33,0,0,0,8738
48,0,0,6179,0,0,2258,33,0,0,0,8470
49,0,0,6278,0,0,2278,33,0,0,0,8589
50,0,0,6506,0,0,2395,33,0,0,0,8934
51,0,0,6625,0,0,2406,33,0,0,0,9064
52,0,0,6574,0,0,2640,33,0,0,0,9247
53,0,0,7141,0,0,2801,33,0,0,0,9975
54,0,0,7445,0,0,2885,33,0,0,0,10363
55,0,0,7759,0,0,2832,33,0,0,0,10624
56,0,0,10506,481,0,5849,36,0,0,0,16872
57,0,0,10850,545,0,6767,36,0,0,0,18198
58,0,0,12270,657,0,8805,36,0,0,0,21768
59,0,0,13514,1182,0,9948,36,0,0,0,24680
60,1697,0,20786,1555,82,13518,462,0,0,61,38161
61,1691,0,22896,1647,82,13937,417,0,0,61,40731
62,1691,0,24929,1868,82,15473,434,0,0,52,44529
63,1688,0,27780,2152,82,17317,453,0,0,51,49523
64,1693,223,34054,2454,82,20113,587,0,0,51,59257
65,1677,234,38264,2627,82,21718,672,0,0,51,65325
