Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,37532,0,572,15769,1907,2289,93,1015,942,126,60245
6,38741,0,572,16405,1937,2402,93,1057,941,126,62274
7,42286,0,572,18368,2590,2687,98,1030,944,132,68707
8,45789,0,572,18656,2873,2753,98,1030,949,132,72852
9,47081,0,572,19715,2909,2949,98,1030,949,132,75435
10,47907,0,573,20520,2844,3052,94,1006,957,140,77093
11,53271,17030,3533,20988,3604,7041,94,1939,869,386,108755
12,54925,17398,3890,21643,3532,16217,94,2036,971,385,121091
13,57078,18485,3965,21536,3944,16358,93,1877,971,385,124692
14,57755,18477,4036,21692,4132,17309,98,1772,1048,412,126731
15,58652,19447,4052,22534,4191,17655,98,1670,1062,412,129773
17,61910,23733,4345,23601,4733,18478,102,1662,1068,410,140042
18,63742,26332,4575,24467,4774,18553,102,1576,1159,599,145879
19,64905,28181,4894,24614,4866,18766,102,1579,1159,614,149680
20,67393,33243,5063,25057,5052,15965,102,1579,1189,613,155256
21,68761,33400,5126,25202,5144,16045,102,1579,1189,610,157158
22,65902,34101,5428,26075,5328,10589,102,1616,1189,650,150980
23,66872,34812,5619,26631,5370,10631,102,1649,1227,655,153568
24,68912,35994,5645,27470,5461,10824,104,1697,1226,664,157997
25,69524,36561,5692,27545,5865,10834,106,1708,1256,593,159684
26,68603,37619,7375,27541,5939,11574,106,1729,1256,597,162339
27,71337,39001,8794,27839,6134,12452,108,1403,1338,637,169043
28,69887,42817,9119,28539,6155,13053,108,1416,1338,637,173069
29,71501,43989,9812,29407,6282,13325,113,1417,1417,661,177924
30,72356,45096,9831,29529,6288,13354,113,1455,1419,662,180103
31,72276,45530,10200,29431,6348,13690,117,1419,1419,636,181066
32,83852,45388,7913,29547,6324,12968,117,1474,1419,623,189625
33,87264,46533,8083,30001,6555,13049,117,1528,1422,623,195175
34,89123,47543,8155,30344,6606,13010,112,1572,1557,629,198651
35,90963,47774,8377,30364,6706,13039,112,1572,1612,633,201152
36,91966,48480,8466,30751,6738,13135,112,1726,1688,676,203738
37,91706,48896,8640,31153,6750,13259,112,1726,1688,651,204581
38,100710,49292,9712,31493,6972,14009,112,1726,1720,651,216397
39,101798,49450,10343,31783,7027,15138,117,1726,1720,659,219761
40,113898,48553,12503,31819,7226,16413,127,1813,1720,659,234731
41,102064,55407,10930,32204,7298,16241,131,1997,1720,801,228793
42,103172,56353,10974,34023,7219,18488,150,2141,1758,893,235171
43,117196,57369,11245,34523,7258,18993,162,2142,1743,1091,251722
44,110533,58466,10097,34578,7261,15523,162,1781,1563,1108,241072
45,113092,58837,10014,34930,8132,15542,274,1787,1723,1116,245447
46,83618,59480,10353,35282,8200,15652,274,1823,1740,1110,217532
47,84636,59600,10456,35953,8357,15822,282,1791,1753,1118,219768
48,86237,60234,10195,36082,8546,15403,295,1823,1753,1143,221711
49,87486,60546,10487,36593,8712,15514,300,1791,1775,1169,224373
50,83478,61927,10755,37039,9576,15789,302,1803,1775,1193,223637
51,83908,62761,10886,37533,9828,15916,302,1803,1775,1295,226007
52,85110,63084,10796,38862,2107,16124,314,1843,68,1239,219547
53,85426,63246,11365,39161,2107,16333,315,1811,68,1240,221072
54,104249,64396,11792,37651,820,16610,290,1701,68,1235,238812
55,106480,65685,12190,38530,818,16671,291,1703,68,1268,243704
56,123195,68069,15325,40442,793,20133,397,1746,68,1333,271501
57,133384,62527,15780,41727,737,21118,397,1745,68,1282,278765
58,134121,62347,16559,41957,583,23434,419,1777,68,1323,282588
59,134029,64332,18267,42939,471,24482,426,1750,68,1360,288124
60,135923,65051,26134,43525,588,28494,1094,1838,68,1204,303919
61,219871,65978,28407,46197,602,32155,1163,1935,68,1204,397580
62,231067,70257,29604,48701,662,31186,1311,1863,68,1201,415920
63,218392,71763,33915,50724,673,34057,1355,1861,68,1149,413957
64,228038,72203,39734,51191,677,36027,1851,1711,0,1316,432748
65,233800,73764,43546,52092,677,37547,1686,1718,0,1324,446154
