Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Sum
23,37,0,0,0,0,0,37
24,37,0,0,0,0,0,37
25,59,0,0,0,0,0,59
26,59,0,0,0,0,0,59
27,59,0,0,0,0,0,59
28,59,0,0,0,0,0,59
29,59,0,0,0,0,0,59
30,59,0,0,0,0,0,59
31,61,0,0,0,0,0,61
32,61,0,0,0,0,0,61
33,61,0,0,0,0,0,61
34,61,0,0,0,0,0,61
35,99,0,0,0,0,0,99
36,99,0,0,0,0,0,99
37,99,0,0,0,0,0,99
38,99,0,0,0,0,0,99
39,99,0,0,0,0,0,99
40,103,0,0,0,0,0,103
41,103,0,0,0,0,0,103
42,103,0,0,0,0,0,103
43,103,0,0,0,0,0,103
44,103,0,0,0,0,0,103
45,137,0,0,0,0,0,137
46,195,0,0,0,0,0,195
47,138,0,0,0,0,0,138
48,138,0,0,0,0,0,138
49,136,0,0,0,0,0,136
50,136,0,0,0,0,0,136
51,139,0,0,0,0,0,139
52,138,0,0,0,0,0,138
53,138,0,0,0,0,0,138
54,138,0,0,0,0,0,138
55,138,0,0,0,0,0,138
56,379,0,0,0,0,0,379
57,379,0,0,0,0,0,379
58,589,0,0,0,0,0,589
59,549,0,0,0,0,0,549
60,557,0,0,0,0,0,557
61,512,0,0,0,0,0,512
62,759,0,0,0,0,0,759
63,759,0,0,0,0,0,759
64,546,0,0,0,0,0,546
65,546,0,0,0,0,0,546
