Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
37,188,0,0,0,0,0,0,0,0,0,188
38,209,0,0,0,0,0,0,0,0,0,209
39,210,0,0,0,0,0,0,0,0,0,210
40,220,0,0,0,0,0,0,0,0,0,220
41,218,0,0,0,0,0,0,0,0,0,218
42,226,0,0,0,0,0,0,0,0,0,226
43,226,0,0,0,0,0,0,0,0,0,226
44,234,0,0,0,0,0,0,0,0,0,234
45,258,0,0,0,0,0,0,0,0,0,258
46,285,0,0,0,0,0,0,0,0,0,285
47,304,0,0,0,0,0,0,0,0,0,304
48,313,0,0,0,0,0,0,0,0,0,313
49,351,0,0,0,0,0,0,0,0,0,351
50,361,0,0,0,0,0,0,0,0,0,361
51,365,0,0,0,0,0,0,0,0,0,365
52,390,0,0,0,0,0,0,0,0,0,390
53,390,0,0,0,0,0,0,0,0,0,390
54,391,0,0,0,0,0,0,0,0,0,391
55,396,0,0,0,0,0,0,0,0,0,396
56,520,0,0,0,0,0,0,0,0,0,520
57,605,0,0,0,0,0,0,0,0,0,605
58,651,0,0,0,0,0,0,0,0,0,651
59,673,0,0,0,0,0,0,0,0,0,673
60,643,0,0,0,0,0,0,0,0,0,643
61,509,0,0,0,0,0,0,0,0,0,509
62,502,0,0,0,0,0,0,0,0,0,502
63,531,0,0,0,0,0,0,0,0,0,531
64,539,0,0,0,0,0,0,0,0,0,539
65,559,0,0,0,0,0,0,0,0,0,559
