Version,JavaScript,Java,C&C++,Objective-C&C++,Markdown,Other,Ruby,XML,CSS,Shell,Sum
5,351,0,0,0,0,0,0,0,0,0,351
6,351,0,0,0,0,0,0,0,0,0,351
7,407,0,0,0,0,0,0,0,0,0,407
8,409,0,0,0,0,0,0,0,0,0,409
9,414,0,0,0,0,0,0,0,0,0,414
10,408,0,0,0,0,0,0,0,0,0,408
11,935,55,0,73,0,148,0,251,0,123,1585
12,968,63,0,73,0,148,0,251,0,123,1626
13,1001,63,0,73,0,173,0,251,0,123,1684
14,673,63,0,73,0,232,0,251,0,124,1416
15,2361,63,0,73,0,384,0,252,0,124,3257
17,2514,63,0,73,0,391,0,252,0,124,3417
18,2790,21,0,73,0,427,0,252,0,124,3687
19,3097,22,0,73,0,418,0,252,0,124,3986
20,2983,22,0,73,0,418,0,252,0,124,3872
21,2992,22,0,73,0,384,0,252,0,124,3847
22,3121,22,0,73,0,384,0,252,0,124,3976
23,3302,22,0,73,0,384,0,252,0,124,4157
24,3311,22,0,73,0,321,0,258,0,124,4109
25,3325,22,0,73,0,320,0,258,0,124,4122
26,3263,22,0,73,0,320,0,258,0,124,4060
27,5887,250,0,74,0,527,0,262,0,124,7124
28,5909,250,0,74,0,540,0,268,0,124,7165
29,6000,264,0,76,0,541,0,269,0,124,7274
30,6105,264,0,75,0,541,0,269,0,124,7378
31,5936,264,0,75,0,541,0,269,0,124,7209
32,6113,264,0,75,0,541,0,269,0,124,7386
33,8735,264,0,75,0,563,0,269,0,124,10030
34,9354,264,0,75,0,435,0,269,0,124,10521
35,9537,264,0,75,0,442,0,269,0,124,10711
36,9697,264,0,75,0,442,0,269,0,124,10871
37,9796,264,0,75,0,442,0,269,0,124,10970
38,9870,270,0,75,0,455,0,269,0,124,11063
39,10152,270,0,75,0,455,0,269,0,124,11345
40,21868,270,0,75,0,1291,0,286,0,124,23914
41,9255,270,0,75,0,1295,0,470,0,124,11489
42,9919,268,0,75,59,1332,0,471,0,124,12248
43,10300,268,0,75,59,1332,0,471,0,124,12629
44,8702,268,0,75,59,532,0,483,0,124,10243
45,8678,268,0,75,59,533,0,483,0,124,10220
46,8411,268,0,75,59,533,0,486,0,125,9957
47,8490,262,0,75,59,547,0,486,0,125,10044
48,8152,262,0,75,59,550,0,486,0,125,9709
49,8885,266,0,75,59,553,0,486,0,125,10449
50,9479,266,0,75,59,572,0,486,0,125,11062
51,9324,266,0,75,59,572,0,486,0,125,10907
52,8974,266,0,75,59,569,0,486,0,125,10554
53,8989,266,0,75,59,569,0,486,0,125,10569
54,9096,266,0,75,59,569,0,481,0,125,10671
55,9113,266,0,75,59,567,0,481,0,125,10686
56,9475,266,0,75,59,565,0,481,0,125,11046
57,9647,266,0,79,59,559,0,509,0,131,11250
58,9193,266,0,75,34,569,0,510,0,131,10778
59,6,0,0,0,0,0,0,0,0,0,0
60,6,0,0,0,0,0,0,0,0,0,0
61,6,0,0,0,0,0,0,0,0,0,0
62,6,0,0,0,0,0,0,0,0,0,0
63,6,0,0,0,0,0,0,0,0,0,0
64,6,0,0,0,0,0,0,0,0,0,0
65,6,0,0,0,0,0,0,0,0,0,0
